Date,Opponent,Game,Result,Score,Line,OU,Total,team_source,season,date_numeric,game_no,prob_implied,dblheader_num
"Mar 30, 2023",@ Oakland,REG,L,2-1,-205,U,7.0,ANA,2023,20230330,1,0.6721311475409837,0
"Apr 1, 2023",@ Oakland,REG,W,13-1,-170,O,7.5,ANA,2023,20230401,2,0.6296296296296297,0
"Apr 2, 2023",@ Oakland,REG,W,6-0,-150,U,7.5,ANA,2023,20230402,3,0.6,0
"Apr 3, 2023",@ Seattle,REG,W,7-3,122,O,7.0,ANA,2023,20230403,4,0.45045045045045046,0
"Apr 4, 2023",@ Seattle,REG,L,11-2,150,O,7.5,ANA,2023,20230404,5,0.4,0
"Apr 5, 2023",@ Seattle,REG,W,4-3,-170,P,7.0,ANA,2023,20230405,6,0.6296296296296297,0
"Apr 7, 2023",vs Toronto,REG,L,4-3,-145,U,9.0,ANA,2023,20230407,7,0.5918367346938775,0
"Apr 8, 2023",vs Toronto,REG,W,9-5,-130,O,9.5,ANA,2023,20230408,8,0.5652173913043479,0
"Apr 9, 2023",vs Toronto,REG,L,12-11,-132,O,10.0,ANA,2023,20230409,9,0.5689655172413793,0
"Apr 10, 2023",vs Washington,REG,L,6-4,-280,P,10.0,ANA,2023,20230410,10,0.736842105263158,0
"Apr 11, 2023",vs Washington,REG,W,2-0,-300,U,8.5,ANA,2023,20230411,11,0.75,0
"Apr 12, 2023",vs Washington,REG,W,3-2,-165,U,9.0,ANA,2023,20230412,12,0.6226415094339622,0
"Apr 14, 2023",@ Boston,REG,L,5-3,-111,U,9.0,ANA,2023,20230414,13,0.5260663507109005,0
"Apr 15, 2023",@ Boston,REG,L,9-7,-120,O,9.5,ANA,2023,20230415,14,0.5454545454545454,0
"Apr 16, 2023",@ Boston,REG,L,2-1,101,U,9.0,ANA,2023,20230416,15,0.4975124378109453,0
"Apr 17, 2023",@ Boston,REG,W,5-4,-130,O,8.0,ANA,2023,20230417,16,0.5652173913043479,0
