Date,Opponent,Game,Result,Score,Line,OU,Total,team_source,season,date_numeric,game_no,prob_implied,dblheader_num
"Mar 30, 2023",@ LA Dodgers,REG,L,8-2,145,O,7.0,ARI,2023,20230330,1,0.40816326530612246,0
"Mar 31, 2023",@ LA Dodgers,REG,W,2-1,170,U,7.5,ARI,2023,20230331,2,0.37037037037037035,0
"Apr 1, 2023",@ LA Dodgers,REG,L,10-1,220,O,8.0,ARI,2023,20230401,3,0.3125,0
"Apr 2, 2023",@ LA Dodgers,REG,W,2-1,165,U,8.5,ARI,2023,20230402,4,0.37735849056603776,0
"Apr 3, 2023",@ San Diego,REG,L,5-4,125,O,8.0,ARI,2023,20230403,5,0.4444444444444444,0
"Apr 4, 2023",@ San Diego,REG,W,8-6,135,O,7.0,ARI,2023,20230404,6,0.425531914893617,0
"Apr 6, 2023",vs LA Dodgers,REG,L,5-2,137,U,8.5,ARI,2023,20230406,7,0.4219409282700422,0
"Apr 7, 2023",vs LA Dodgers,REG,W,6-3,210,P,9.0,ARI,2023,20230407,8,0.3225806451612903,0
"Apr 8, 2023",vs LA Dodgers,REG,W,12-8,135,O,9.5,ARI,2023,20230408,9,0.425531914893617,0
"Apr 9, 2023",vs LA Dodgers,REG,W,11-6,115,O,9.5,ARI,2023,20230409,10,0.46511627906976744,0
"Apr 10, 2023",vs Milwaukee,REG,W,3-0,-145,U,9.0,ARI,2023,20230410,11,0.5918367346938775,0
"Apr 11, 2023",vs Milwaukee,REG,L,7-1,107,U,8.5,ARI,2023,20230411,12,0.4830917874396135,0
"Apr 12, 2023",vs Milwaukee,REG,W,7-3,-131,O,9.5,ARI,2023,20230412,13,0.5670995670995671,0
"Apr 14, 2023",@ Miami,REG,L,5-1,140,U,9.0,ARI,2023,20230414,14,0.4166666666666667,0
"Apr 15, 2023",@ Miami,REG,L,3-2,110,U,8.5,ARI,2023,20230415,15,0.47619047619047616,0
"Apr 16, 2023",@ Miami,REG,W,5-0,118,U,7.0,ARI,2023,20230416,16,0.45871559633027525,0
"Apr 17, 2023",@ St. Louis,REG,W,6-3,130,O,8.5,ARI,2023,20230417,17,0.43478260869565216,0
"Apr 18, 2023",@ St. Louis,REG,W,8-7,148,O,8.0,ARI,2023,20230418,18,0.4032258064516129,0
