Date,Opponent,Game,Result,Score,Line,OU,Total,team_source,season,date_numeric,game_no,prob_implied,dblheader_num
"Mar 30, 2023",@ Washington,REG,W,7-2,-260,O,7.5,ATL,2023,20230330,1,0.7222222222222222,0
"Apr 1, 2023",@ Washington,REG,W,7-1,-250,U,9.0,ATL,2023,20230401,2,0.7142857142857143,0
"Apr 2, 2023",@ Washington,REG,L,4-1,-175,U,8.5,ATL,2023,20230402,3,0.6363636363636364,0
"Apr 3, 2023",@ St. Louis,REG,W,8-4,-118,O,8.5,ATL,2023,20230403,4,0.5412844036697247,0
"Apr 4, 2023",@ St. Louis,REG,W,4-1,122,U,9.5,ATL,2023,20230404,5,0.45045045045045046,0
"Apr 5, 2023",@ St. Louis,REG,W,5-2,110,U,9.0,ATL,2023,20230405,6,0.47619047619047616,0
"Apr 6, 2023",vs San Diego,REG,W,7-6,-160,O,8.5,ATL,2023,20230406,7,0.6153846153846154,0
"Apr 7, 2023",vs San Diego,REG,L,5-4,-110,U,9.5,ATL,2023,20230407,8,0.5238095238095238,0
"Apr 8, 2023",vs San Diego,REG,L,4-1,-152,U,9.0,ATL,2023,20230408,9,0.6031746031746033,0
"Apr 9, 2023",vs San Diego,REG,L,10-2,-120,O,9.0,ATL,2023,20230409,10,0.5454545454545454,0
"Apr 10, 2023",vs Cincinnati,REG,W,5-4,-190,O,8.5,ATL,2023,20230410,11,0.6551724137931034,0
"Apr 11, 2023",vs Cincinnati,REG,W,7-6,-230,O,9.0,ATL,2023,20230411,12,0.696969696969697,0
"Apr 12, 2023",vs Cincinnati,REG,W,5-4,-275,O,8.0,ATL,2023,20230412,13,0.7333333333333334,0
"Apr 14, 2023",@ Kansas City,REG,W,10-3,-130,O,9.0,ATL,2023,20230414,14,0.5652173913043479,0
"Apr 15, 2023",@ Kansas City,REG,W,9-3,-133,O,8.5,ATL,2023,20230415,15,0.5708154506437768,0
"Apr 16, 2023",@ Kansas City,REG,W,5-4,-150,P,9.0,ATL,2023,20230416,16,0.6,0
"Apr 17, 2023",@ San Diego,REG,W,2-0,-143,U,8.5,ATL,2023,20230417,17,0.588477366255144,0
"Apr 18, 2023",@ San Diego,REG,W,8-1,-132,O,7.5,ATL,2023,20230418,18,0.5689655172413793,0
"Apr 19, 2023",@ San Diego,REG,L,1-0,-120,U,9.0,ATL,2023,20230419,19,0.5454545454545454,0
"Apr 21, 2023",vs Houston,REG,L,6-4,-111,O,8.5,ATL,2023,20230421,20,0.5260663507109005,0
"Apr 22, 2023",vs Houston,REG,L,6-3,-112,O,8.5,ATL,2023,20230422,21,0.5283018867924528,0
"Apr 23, 2023",vs Houston,REG,L,5-2,-135,U,8.0,ATL,2023,20230423,22,0.574468085106383,0
"Apr 24, 2023",vs Miami,REG,W,11-0,-270,O,7.5,ATL,2023,20230424,23,0.7297297297297297,0
"Apr 25, 2023",vs Miami,REG,W,7-4,-245,O,9.0,ATL,2023,20230425,24,0.7101449275362319,0
"Apr 26, 2023",vs Miami,REG,W,6-4,-139,O,8.0,ATL,2023,20230426,25,0.5815899581589958,0
"Apr 27, 2023",vs Miami,REG,L,5-4,-168,O,8.5,ATL,2023,20230427,26,0.6268656716417911,0
"Apr 28, 2023",@ NY Mets,REG,W,4-0,-130,U,7.5,ATL,2023,20230428,27,0.5652173913043479,0
"May 1, 2023",@ NY Mets,REG,W,9-8,-200,O,8.0,ATL,2023,20230501,28,0.6666666666666667,1
"May 1, 2023",@ NY Mets,REG,L,5-3,-115,U,9.0,ATL,2023,20230501,29,0.5348837209302326,2
"May 2, 2023",@ Miami,REG,W,6-0,107,U,8.0,ATL,2023,20230502,30,0.4830917874396135,0
"May 3, 2023",@ Miami,REG,W,14-6,-140,O,8.5,ATL,2023,20230503,31,0.5833333333333333,0
"May 4, 2023",@ Miami,REG,W,6-3,-103,O,8.5,ATL,2023,20230504,32,0.5073891625615763,0
"May 5, 2023",vs Baltimore,REG,L,9-4,-225,O,8.5,ATL,2023,20230505,33,0.6923076923076923,0
"May 6, 2023",vs Baltimore,REG,W,5-4,-250,O,8.0,ATL,2023,20230506,34,0.7142857142857143,0
"May 7, 2023",vs Baltimore,REG,W,3-2,-155,U,9.0,ATL,2023,20230507,35,0.607843137254902,0
"May 9, 2023",vs Boston,REG,W,9-3,-196,O,9.5,ATL,2023,20230509,36,0.6621621621621622,0
"May 10, 2023",vs Boston,REG,L,5-2,-170,U,9.5,ATL,2023,20230510,37,0.6296296296296297,0
"May 12, 2023",@ Toronto,REG,L,3-0,-150,U,8.5,ATL,2023,20230512,38,0.6,0
"May 13, 2023",@ Toronto,REG,L,5-2,105,U,9.5,ATL,2023,20230513,39,0.4878048780487805,0
"May 14, 2023",@ Toronto,REG,L,6-5,-105,O,9.5,ATL,2023,20230514,40,0.5121951219512195,0
"May 15, 2023",@ Texas,REG,W,12-0,-170,O,9.0,ATL,2023,20230515,41,0.6296296296296297,0
"May 16, 2023",@ Texas,REG,L,7-4,-105,O,9.5,ATL,2023,20230516,42,0.5121951219512195,0
"May 17, 2023",@ Texas,REG,W,6-5,-155,O,7.5,ATL,2023,20230517,43,0.607843137254902,0
"May 19, 2023",vs Seattle,REG,W,6-2,-143,U,8.5,ATL,2023,20230519,44,0.588477366255144,0
"May 20, 2023",vs Seattle,REG,L,7-3,-125,O,9.5,ATL,2023,20230520,45,0.5555555555555556,0
"May 21, 2023",vs Seattle,REG,W,3-2,-115,U,9.5,ATL,2023,20230521,46,0.5348837209302326,0
"May 22, 2023",vs LA Dodgers,REG,L,8-6,-156,O,9.5,ATL,2023,20230522,47,0.609375,0
"May 23, 2023",vs LA Dodgers,REG,L,8-1,-200,O,8.5,ATL,2023,20230523,48,0.6666666666666667,0
"May 24, 2023",vs LA Dodgers,REG,W,4-3,-117,U,9.5,ATL,2023,20230524,49,0.5391705069124424,0
"May 25, 2023",vs Philadelphia,REG,W,8-5,-110,O,9.5,ATL,2023,20230525,50,0.5238095238095238,0
"May 26, 2023",vs Philadelphia,REG,L,6-4,-155,P,10.0,ATL,2023,20230526,51,0.607843137254902,0
