Date,Opponent,Game,Result,Score,Line,OU,Total,team_source,season,date_numeric,game_no,prob_implied,dblheader_num
"Mar 30, 2023",vs Baltimore,REG,L,10-9,-125,O,8.5,BOS,2023,20230330,1,0.5555555555555556,0
"Apr 1, 2023",vs Baltimore,REG,W,9-8,-155,O,9.5,BOS,2023,20230401,2,0.607843137254902,0
"Apr 2, 2023",vs Baltimore,REG,W,9-5,-141,O,9.0,BOS,2023,20230402,3,0.5850622406639003,0
"Apr 3, 2023",vs Pittsburgh,REG,L,7-6,-150,O,9.5,BOS,2023,20230403,4,0.6,0
"Apr 4, 2023",vs Pittsburgh,REG,L,4-1,-145,U,9.0,BOS,2023,20230404,5,0.5918367346938775,0
"Apr 5, 2023",vs Pittsburgh,REG,L,4-1,-155,U,8.5,BOS,2023,20230405,6,0.607843137254902,0
"Apr 6, 2023",@ Detroit,REG,W,6-3,-136,O,8.0,BOS,2023,20230406,7,0.576271186440678,0
"Apr 8, 2023",@ Detroit,REG,W,14-5,-143,O,8.5,BOS,2023,20230408,8,0.588477366255144,0
"Apr 9, 2023",@ Detroit,REG,W,4-1,-122,U,8.5,BOS,2023,20230409,9,0.5495495495495495,0
"Apr 10, 2023",@ Tampa Bay,REG,L,1-0,135,U,8.5,BOS,2023,20230410,10,0.425531914893617,0
"Apr 11, 2023",@ Tampa Bay,REG,L,7-2,150,O,7.5,BOS,2023,20230411,11,0.4,0
"Apr 12, 2023",@ Tampa Bay,REG,L,9-7,115,O,8.5,BOS,2023,20230412,12,0.46511627906976744,0
"Apr 13, 2023",@ Tampa Bay,REG,L,9-3,200,O,8.0,BOS,2023,20230413,13,0.3333333333333333,0
"Apr 14, 2023",vs LA Angels,REG,W,5-3,101,U,9.0,BOS,2023,20230414,14,0.4975124378109453,0
"Apr 15, 2023",vs LA Angels,REG,W,9-7,100,O,9.5,BOS,2023,20230415,15,0.5,0
"Apr 16, 2023",vs LA Angels,REG,W,2-1,-111,U,9.0,BOS,2023,20230416,16,0.5260663507109005,0
"Apr 17, 2023",vs LA Angels,REG,L,5-4,120,O,8.0,BOS,2023,20230417,17,0.45454545454545453,0
"Apr 18, 2023",vs Minnesota,REG,W,5-4,-105,O,8.5,BOS,2023,20230418,18,0.5121951219512195,0
"Apr 19, 2023",vs Minnesota,REG,L,10-4,128,O,9.0,BOS,2023,20230419,19,0.43859649122807015,0
"Apr 20, 2023",vs Minnesota,REG,W,11-5,-120,O,9.0,BOS,2023,20230420,20,0.5454545454545454,0
"Apr 21, 2023",@ Milwaukee,REG,W,5-3,145,U,8.5,BOS,2023,20230421,21,0.40816326530612246,0
"Apr 22, 2023",@ Milwaukee,REG,L,5-4,114,O,8.5,BOS,2023,20230422,22,0.4672897196261682,0
"Apr 23, 2023",@ Milwaukee,REG,W,12-5,145,O,8.0,BOS,2023,20230423,23,0.40816326530612246,0
"Apr 24, 2023",@ Baltimore,REG,L,5-4,-114,O,8.5,BOS,2023,20230424,24,0.5327102803738317,0
"Apr 25, 2023",@ Baltimore,REG,W,8-6,134,O,9.0,BOS,2023,20230425,25,0.42735042735042733,0
"Apr 26, 2023",@ Baltimore,REG,L,6-2,115,U,8.5,BOS,2023,20230426,26,0.46511627906976744,0
"Apr 28, 2023",vs Cleveland,REG,L,5-2,115,U,9.0,BOS,2023,20230428,27,0.46511627906976744,0
"Apr 29, 2023",vs Cleveland,REG,W,8-7,-115,O,9.0,BOS,2023,20230429,28,0.5348837209302326,0
"Apr 30, 2023",vs Cleveland,REG,W,7-1,-118,U,9.0,BOS,2023,20230430,29,0.5412844036697247,0
"May 1, 2023",vs Toronto,REG,W,6-5,135,O,10.0,BOS,2023,20230501,30,0.425531914893617,0
"May 2, 2023",vs Toronto,REG,W,7-6,122,O,9.5,BOS,2023,20230502,31,0.45045045045045046,0
"May 3, 2023",vs Toronto,REG,W,8-3,130,O,9.5,BOS,2023,20230503,32,0.43478260869565216,0
"May 4, 2023",vs Toronto,REG,W,11-5,170,O,8.5,BOS,2023,20230504,33,0.37037037037037035,0
"May 5, 2023",@ Philadelphia,REG,W,5-3,139,P,8.0,BOS,2023,20230505,34,0.41841004184100417,0
"May 6, 2023",@ Philadelphia,REG,W,7-4,139,O,9.0,BOS,2023,20230506,35,0.41841004184100417,0
"May 7, 2023",@ Philadelphia,REG,L,6-1,105,U,10.0,BOS,2023,20230507,36,0.4878048780487805,0
"May 9, 2023",@ Atlanta,REG,L,9-3,156,O,9.5,BOS,2023,20230509,37,0.390625,0
"May 10, 2023",@ Atlanta,REG,W,5-2,150,U,9.5,BOS,2023,20230510,38,0.4,0
"May 12, 2023",vs St. Louis,REG,L,8-6,-115,O,11.0,BOS,2023,20230512,39,0.5348837209302326,0
"May 13, 2023",vs St. Louis,REG,L,4-3,-135,U,10.5,BOS,2023,20230513,40,0.574468085106383,0
"May 14, 2023",vs St. Louis,REG,L,9-1,100,P,10.0,BOS,2023,20230514,41,0.5,0
"May 15, 2023",vs Seattle,REG,L,10-1,105,O,10.0,BOS,2023,20230515,42,0.4878048780487805,0
"May 16, 2023",vs Seattle,REG,W,9-4,139,O,10.5,BOS,2023,20230516,43,0.41841004184100417,0
"May 17, 2023",vs Seattle,REG,W,12-3,-130,O,9.5,BOS,2023,20230517,44,0.5652173913043479,0
"May 19, 2023",@ San Diego,REG,W,6-1,130,U,8.0,BOS,2023,20230519,45,0.43478260869565216,0
"May 20, 2023",@ San Diego,REG,W,4-2,104,U,7.5,BOS,2023,20230520,46,0.49019607843137253,0
"May 21, 2023",@ San Diego,REG,L,7-0,153,U,9.0,BOS,2023,20230521,47,0.3952569169960474,0
"May 22, 2023",@ LA Angels,REG,L,2-1,-110,U,9.5,BOS,2023,20230522,48,0.5238095238095238,0
"May 23, 2023",@ LA Angels,REG,L,4-0,-115,U,9.5,BOS,2023,20230523,49,0.5348837209302326,0
