Date,Opponent,Game,Result,Score,Line,OU,Total,team_source,season,date_numeric,game_no,prob_implied,dblheader_num
"Mar 30, 2023",vs Milwaukee,REG,W,4-0,120,U,6.5,CHN,2023,20230330,1,0.45454545454545453,0
"Apr 1, 2023",vs Milwaukee,REG,L,3-1,100,U,6.5,CHN,2023,20230401,2,0.5,0
"Apr 2, 2023",vs Milwaukee,REG,L,9-5,-125,O,9.0,CHN,2023,20230402,3,0.5555555555555556,0
"Apr 3, 2023",@ Cincinnati,REG,L,7-6,-113,O,9.0,CHN,2023,20230403,4,0.5305164319248826,0
"Apr 4, 2023",@ Cincinnati,REG,W,12-5,-135,O,9.0,CHN,2023,20230404,5,0.574468085106383,0
"Apr 7, 2023",vs Texas,REG,W,2-0,-122,U,6.5,CHN,2023,20230407,6,0.5495495495495495,0
"Apr 8, 2023",vs Texas,REG,W,10-3,-125,O,7.0,CHN,2023,20230408,7,0.5555555555555556,0
"Apr 9, 2023",vs Texas,REG,L,8-2,-110,O,8.5,CHN,2023,20230409,8,0.5238095238095238,0
"Apr 10, 2023",vs Seattle,REG,W,3-2,135,U,9.0,CHN,2023,20230410,9,0.425531914893617,0
"Apr 11, 2023",vs Seattle,REG,W,14-9,-120,O,10.5,CHN,2023,20230411,10,0.5454545454545454,0
"Apr 12, 2023",vs Seattle,REG,L,5-2,100,U,11.0,CHN,2023,20230412,11,0.5,0
"Apr 14, 2023",@ LA Dodgers,REG,W,8-2,138,O,8.5,CHN,2023,20230414,12,0.42016806722689076,0
"Apr 15, 2023",@ LA Dodgers,REG,L,2-1,125,U,9.0,CHN,2023,20230415,13,0.4444444444444444,0
"Apr 16, 2023",@ LA Dodgers,REG,W,3-2,195,U,8.0,CHN,2023,20230416,14,0.3389830508474576,0
"Apr 17, 2023",@ Oakland,REG,W,10-1,-135,O,8.0,CHN,2023,20230417,15,0.574468085106383,0
"Apr 18, 2023",@ Oakland,REG,W,4-0,-185,U,7.5,CHN,2023,20230418,16,0.6491228070175439,0
"Apr 19, 2023",@ Oakland,REG,W,12-2,-160,O,7.0,CHN,2023,20230419,17,0.6153846153846154,0
"Apr 20, 2023",vs LA Dodgers,REG,L,6-2,-110,U,11.5,CHN,2023,20230420,18,0.5238095238095238,0
"Apr 21, 2023",vs LA Dodgers,REG,W,13-0,146,O,9.5,CHN,2023,20230421,19,0.4065040650406504,0
"Apr 22, 2023",vs LA Dodgers,REG,L,9-4,105,O,8.5,CHN,2023,20230422,20,0.4878048780487805,0
"Apr 23, 2023",vs LA Dodgers,REG,L,7-3,122,O,7.5,CHN,2023,20230423,21,0.45045045045045046,0
"Apr 25, 2023",vs San Diego,REG,W,6-0,-110,U,7.0,CHN,2023,20230425,22,0.5238095238095238,0
"Apr 26, 2023",vs San Diego,REG,L,5-3,-112,P,8.0,CHN,2023,20230426,23,0.5283018867924528,0
"Apr 27, 2023",vs San Diego,REG,W,5-2,135,U,8.5,CHN,2023,20230427,24,0.425531914893617,0
"Apr 28, 2023",@ Miami,REG,L,3-2,-115,U,7.5,CHN,2023,20230428,25,0.5348837209302326,0
"Apr 29, 2023",@ Miami,REG,L,7-6,110,O,9.0,CHN,2023,20230429,26,0.47619047619047616,0
"Apr 30, 2023",@ Miami,REG,L,4-3,-175,U,8.5,CHN,2023,20230430,27,0.6363636363636364,0
"May 1, 2023",@ Washington,REG,W,5-1,-128,U,8.5,CHN,2023,20230501,28,0.5614035087719298,0
"May 2, 2023",@ Washington,REG,L,4-1,-135,U,8.5,CHN,2023,20230502,29,0.574468085106383,0
"May 3, 2023",@ Washington,REG,L,2-1,-185,U,8.0,CHN,2023,20230503,30,0.6491228070175439,0
"May 4, 2023",@ Washington,REG,L,4-3,-175,U,8.5,CHN,2023,20230504,31,0.6363636363636364,0
"May 5, 2023",vs Miami,REG,W,4-1,-165,U,9.0,CHN,2023,20230505,32,0.6226415094339622,0
"May 6, 2023",vs Miami,REG,W,4-2,-180,U,9.0,CHN,2023,20230506,33,0.6428571428571428,0
"May 7, 2023",vs Miami,REG,L,5-4,-105,O,7.5,CHN,2023,20230507,34,0.5121951219512195,0
"May 8, 2023",vs St. Louis,REG,L,3-1,-125,U,7.5,CHN,2023,20230508,35,0.5555555555555556,0
"May 9, 2023",vs St. Louis,REG,L,6-4,-120,O,8.0,CHN,2023,20230509,36,0.5454545454545454,0
"May 10, 2023",vs St. Louis,REG,W,10-4,-105,O,7.5,CHN,2023,20230510,37,0.5121951219512195,0
"May 12, 2023",@ Minnesota,REG,W,6-2,135,O,7.5,CHN,2023,20230512,38,0.425531914893617,0
"May 13, 2023",@ Minnesota,REG,L,11-1,155,O,7.5,CHN,2023,20230513,39,0.39215686274509803,0
"May 14, 2023",@ Minnesota,REG,L,16-3,115,O,7.5,CHN,2023,20230514,40,0.46511627906976744,0
"May 15, 2023",@ Houston,REG,L,6-4,170,O,7.5,CHN,2023,20230515,41,0.37037037037037035,0
