Date,Opponent,Game,Result,Score,Line,OU,Total,team_source,season,date_numeric,game_no,prob_implied,dblheader_num
"Mar 30, 2023",vs Pittsburgh,REG,L,5-4,-135,O,8.0,CIN,2023,20230330,1,0.574468085106383,0
"Apr 1, 2023",vs Pittsburgh,REG,W,6-2,-150,U,8.5,CIN,2023,20230401,2,0.6,0
"Apr 2, 2023",vs Pittsburgh,REG,W,3-1,-128,U,9.0,CIN,2023,20230402,3,0.5614035087719298,0
"Apr 3, 2023",vs Chi Cubs,REG,W,7-6,103,O,9.0,CIN,2023,20230403,4,0.49261083743842365,0
"Apr 4, 2023",vs Chi Cubs,REG,L,12-5,115,O,9.0,CIN,2023,20230404,5,0.46511627906976744,0
"Apr 7, 2023",@ Philadelphia,REG,L,5-2,165,U,7.5,CIN,2023,20230407,6,0.37735849056603776,0
"Apr 8, 2023",@ Philadelphia,REG,L,3-2,122,U,8.0,CIN,2023,20230408,7,0.45045045045045046,0
"Apr 9, 2023",@ Philadelphia,REG,W,6-4,175,O,8.5,CIN,2023,20230409,8,0.36363636363636365,0
"Apr 10, 2023",@ Atlanta,REG,L,5-4,156,O,8.5,CIN,2023,20230410,9,0.390625,0
"Apr 11, 2023",@ Atlanta,REG,L,7-6,190,O,9.0,CIN,2023,20230411,10,0.3448275862068966,0
"Apr 12, 2023",@ Atlanta,REG,L,5-4,225,O,8.0,CIN,2023,20230412,11,0.3076923076923077,0
"Apr 13, 2023",vs Philadelphia,REG,W,6-2,-115,U,9.0,CIN,2023,20230413,12,0.5348837209302326,0
"Apr 14, 2023",vs Philadelphia,REG,L,8-3,130,O,10.0,CIN,2023,20230414,13,0.43478260869565216,0
"Apr 15, 2023",vs Philadelphia,REG,W,13-0,100,O,9.5,CIN,2023,20230415,14,0.5,0
"Apr 16, 2023",vs Philadelphia,REG,L,14-3,170,O,9.5,CIN,2023,20230416,15,0.37037037037037035,0
"Apr 17, 2023",vs Tampa Bay,REG,W,8-1,135,U,9.5,CIN,2023,20230417,16,0.425531914893617,0
"Apr 18, 2023",vs Tampa Bay,REG,L,10-0,115,O,9.5,CIN,2023,20230418,17,0.46511627906976744,0
"Apr 19, 2023",vs Tampa Bay,REG,L,8-0,225,U,10.0,CIN,2023,20230419,18,0.3076923076923077,0
"Apr 20, 2023",@ Pittsburgh,REG,L,4-3,145,U,9.0,CIN,2023,20230420,19,0.40816326530612246,0
"Apr 21, 2023",@ Pittsburgh,REG,L,4-2,128,U,8.5,CIN,2023,20230421,20,0.43859649122807015,0
"Apr 22, 2023",@ Pittsburgh,REG,L,2-1,145,U,9.0,CIN,2023,20230422,21,0.40816326530612246,0
"Apr 23, 2023",@ Pittsburgh,REG,L,2-0,-110,U,7.5,CIN,2023,20230423,22,0.5238095238095238,0
"Apr 24, 2023",vs Texas,REG,W,7-6,100,O,8.0,CIN,2023,20230424,23,0.5,0
"Apr 25, 2023",vs Texas,REG,W,7-6,115,O,9.5,CIN,2023,20230425,24,0.46511627906976744,0
"Apr 26, 2023",vs Texas,REG,W,5-3,-110,U,8.5,CIN,2023,20230426,25,0.5238095238095238,0
"Apr 28, 2023",@ Oakland,REG,W,11-7,-115,O,9.0,CIN,2023,20230428,26,0.5348837209302326,0
"Apr 29, 2023",@ Oakland,REG,W,3-2,-155,U,8.0,CIN,2023,20230429,27,0.607843137254902,0
"Apr 30, 2023",@ Oakland,REG,L,5-4,-150,O,8.0,CIN,2023,20230430,28,0.6,0
"May 1, 2023",@ San Diego,REG,L,8-3,180,O,8.5,CIN,2023,20230501,29,0.35714285714285715,0
"May 2, 2023",@ San Diego,REG,W,2-1,166,U,8.5,CIN,2023,20230502,30,0.37593984962406013,0
"May 3, 2023",@ San Diego,REG,L,7-1,210,U,8.5,CIN,2023,20230503,31,0.3225806451612903,0
"May 5, 2023",vs Chi White Sox,REG,L,5-4,-125,O,8.5,CIN,2023,20230505,32,0.5555555555555556,0
"May 6, 2023",vs Chi White Sox,REG,W,5-3,-135,U,9.5,CIN,2023,20230506,33,0.574468085106383,0
"May 7, 2023",vs Chi White Sox,REG,L,17-4,-118,O,9.5,CIN,2023,20230507,34,0.5412844036697247,0
"May 9, 2023",vs NY Mets,REG,W,7-6,145,O,11.0,CIN,2023,20230509,35,0.40816326530612246,0
"May 10, 2023",vs NY Mets,REG,L,2-1,139,U,9.0,CIN,2023,20230510,36,0.41841004184100417,0
"May 11, 2023",vs NY Mets,REG,W,5-0,170,U,10.0,CIN,2023,20230511,37,0.37037037037037035,0
"May 12, 2023",@ Miami,REG,W,7-4,120,O,7.5,CIN,2023,20230512,38,0.45454545454545453,0
"May 13, 2023",@ Miami,REG,W,6-5,205,O,7.5,CIN,2023,20230513,39,0.32786885245901637,0
"May 14, 2023",@ Miami,REG,L,3-1,130,U,8.5,CIN,2023,20230514,40,0.43478260869565216,0
"May 15, 2023",@ Colorado,REG,L,9-8,-125,O,10.5,CIN,2023,20230515,41,0.5555555555555556,0
"May 16, 2023",@ Colorado,REG,W,3-1,115,U,12.5,CIN,2023,20230516,42,0.46511627906976744,0
"May 17, 2023",@ Colorado,REG,L,11-6,-103,O,11.5,CIN,2023,20230517,43,0.5073891625615763,0
"May 19, 2023",vs NY Yankees,REG,L,6-2,141,U,10.5,CIN,2023,20230519,44,0.4149377593360996,0
"May 20, 2023",vs NY Yankees,REG,L,7-4,128,O,10.5,CIN,2023,20230520,45,0.43859649122807015,0
"May 21, 2023",vs NY Yankees,REG,L,4-1,115,U,8.5,CIN,2023,20230521,46,0.46511627906976744,0
"May 22, 2023",vs St. Louis,REG,W,6-5,165,O,10.0,CIN,2023,20230522,47,0.37735849056603776,0
"May 23, 2023",vs St. Louis,REG,L,8-5,125,O,10.5,CIN,2023,20230523,48,0.4444444444444444,0
"May 24, 2023",vs St. Louis,REG,W,10-3,135,O,11.0,CIN,2023,20230524,49,0.425531914893617,0
"May 25, 2023",vs St. Louis,REG,L,2-1,105,U,9.5,CIN,2023,20230525,50,0.4878048780487805,0
