Date,Opponent,Game,Result,Score,Line,OU,Total,team_source,season,date_numeric,game_no,prob_implied,dblheader_num
"Mar 30, 2023",@ Seattle,REG,L,3-0,100,U,6.5,CLE,2023,20230330,1,0.5,0
"Mar 31, 2023",@ Seattle,REG,W,9-4,140,O,7.5,CLE,2023,20230331,2,0.4166666666666667,0
"Apr 1, 2023",@ Seattle,REG,W,2-0,123,U,7.0,CLE,2023,20230401,3,0.4484304932735426,0
"Apr 2, 2023",@ Seattle,REG,W,6-5,105,O,8.0,CLE,2023,20230402,4,0.4878048780487805,0
"Apr 3, 2023",@ Oakland,REG,W,12-11,-150,O,7.5,CLE,2023,20230403,5,0.6,0
"Apr 4, 2023",@ Oakland,REG,L,4-3,-185,P,7.0,CLE,2023,20230404,6,0.6491228070175439,0
"Apr 5, 2023",@ Oakland,REG,W,6-4,-125,O,8.0,CLE,2023,20230405,7,0.5555555555555556,0
"Apr 7, 2023",vs Seattle,REG,L,5-3,-121,O,7.5,CLE,2023,20230407,8,0.5475113122171946,0
"Apr 8, 2023",vs Seattle,REG,L,3-2,-134,U,8.5,CLE,2023,20230408,9,0.5726495726495726,0
"Apr 9, 2023",vs Seattle,REG,W,7-6,115,O,8.0,CLE,2023,20230409,10,0.46511627906976744,0
"Apr 10, 2023",vs NY Yankees,REG,W,3-2,-158,U,7.5,CLE,2023,20230410,11,0.6124031007751938,0
"Apr 11, 2023",vs NY Yankees,REG,L,11-2,155,O,8.5,CLE,2023,20230411,12,0.39215686274509803,0
"Apr 12, 2023",vs NY Yankees,REG,L,4-3,-105,U,9.5,CLE,2023,20230412,13,0.5121951219512195,0
"Apr 14, 2023",@ Washington,REG,W,4-3,-158,U,9.5,CLE,2023,20230414,14,0.6124031007751938,0
"Apr 15, 2023",@ Washington,REG,W,6-4,-175,O,9.5,CLE,2023,20230415,15,0.6363636363636364,0
"Apr 16, 2023",@ Washington,REG,L,7-6,-225,O,9.0,CLE,2023,20230416,16,0.6923076923076923,0
"Apr 18, 2023",@ Detroit,REG,L,4-3,-130,U,9.0,CLE,2023,20230418,17,0.5652173913043479,1
"Apr 18, 2023",@ Detroit,REG,L,1-0,-138,U,8.5,CLE,2023,20230418,18,0.5798319327731092,2
"Apr 19, 2023",@ Detroit,REG,W,3-2,-132,U,8.0,CLE,2023,20230419,19,0.5689655172413793,0
"Apr 22, 2023",vs Miami,REG,L,6-1,-230,U,8.0,CLE,2023,20230422,20,0.696969696969697,1
"Apr 22, 2023",vs Miami,REG,L,3-2,-135,U,7.5,CLE,2023,20230422,21,0.574468085106383,2
"Apr 23, 2023",vs Miami,REG,W,7-4,-120,O,7.5,CLE,2023,20230423,22,0.5454545454545454,0
"Apr 24, 2023",vs Colorado,REG,L,6-0,-200,U,8.0,CLE,2023,20230424,23,0.6666666666666667,0
"Apr 25, 2023",vs Colorado,REG,L,5-1,-210,U,8.0,CLE,2023,20230425,24,0.6774193548387097,0
"Apr 26, 2023",vs Colorado,REG,W,4-1,-175,U,7.5,CLE,2023,20230426,25,0.6363636363636364,0
"Apr 28, 2023",@ Boston,REG,W,5-2,-125,U,9.0,CLE,2023,20230428,26,0.5555555555555556,0
"Apr 29, 2023",@ Boston,REG,L,8-7,105,O,9.0,CLE,2023,20230429,27,0.4878048780487805,0
"Apr 30, 2023",@ Boston,REG,L,7-1,108,U,9.0,CLE,2023,20230430,28,0.4807692307692308,0
"May 1, 2023",@ NY Yankees,REG,W,3-2,110,U,8.5,CLE,2023,20230501,29,0.47619047619047616,0
"May 2, 2023",@ NY Yankees,REG,L,4-2,143,U,7.0,CLE,2023,20230502,30,0.411522633744856,0
"May 3, 2023",@ NY Yankees,REG,L,4-3,-120,U,7.5,CLE,2023,20230503,31,0.5454545454545454,0
"May 5, 2023",vs Minnesota,REG,L,2-0,105,U,8.5,CLE,2023,20230505,32,0.4878048780487805,0
"May 6, 2023",vs Minnesota,REG,W,4-3,-107,U,7.5,CLE,2023,20230506,33,0.5169082125603865,0
"May 7, 2023",vs Minnesota,REG,W,2-0,141,U,8.5,CLE,2023,20230507,34,0.4149377593360996,0
"May 8, 2023",vs Detroit,REG,L,6-2,-200,O,7.5,CLE,2023,20230508,35,0.6666666666666667,0
"May 9, 2023",vs Detroit,REG,W,2-0,-200,U,7.5,CLE,2023,20230509,36,0.6666666666666667,0
"May 10, 2023",vs Detroit,REG,L,5-0,-110,U,7.0,CLE,2023,20230510,37,0.5238095238095238,0
"May 12, 2023",vs LA Angels,REG,L,5-4,-135,O,8.5,CLE,2023,20230512,38,0.574468085106383,0
"May 13, 2023",vs LA Angels,REG,W,8-6,105,O,8.0,CLE,2023,20230513,39,0.4878048780487805,0
"May 14, 2023",vs LA Angels,REG,W,4-3,-125,U,7.5,CLE,2023,20230514,40,0.5555555555555556,0
"May 16, 2023",@ Chi White Sox,REG,L,8-3,-125,O,8.5,CLE,2023,20230516,41,0.5555555555555556,0
"May 17, 2023",@ Chi White Sox,REG,L,7-2,120,P,9.0,CLE,2023,20230517,42,0.45454545454545453,0
"May 18, 2023",@ Chi White Sox,REG,W,3-1,125,U,7.5,CLE,2023,20230518,43,0.4444444444444444,0
"May 19, 2023",@ NY Mets,REG,L,10-9,127,O,8.5,CLE,2023,20230519,44,0.44052863436123346,0
"May 21, 2023",@ NY Mets,REG,L,5-4,130,O,7.5,CLE,2023,20230521,45,0.43478260869565216,1
"May 21, 2023",@ NY Mets,REG,L,2-1,117,U,7.0,CLE,2023,20230521,46,0.4608294930875576,2
"May 22, 2023",vs Chi White Sox,REG,W,3-0,-118,U,8.5,CLE,2023,20230522,47,0.5412844036697247,0
"May 23, 2023",vs Chi White Sox,REG,L,4-2,-123,U,8.5,CLE,2023,20230523,48,0.5515695067264574,0
"May 24, 2023",vs Chi White Sox,REG,L,6-0,-145,U,8.0,CLE,2023,20230524,49,0.5918367346938775,0
"May 26, 2023",vs St. Louis,REG,W,4-3,-110,U,8.0,CLE,2023,20230526,50,0.5238095238095238,0
"May 27, 2023",vs St. Louis,REG,L,2-1,-105,U,8.5,CLE,2023,20230527,51,0.5121951219512195,0
"May 28, 2023",vs St. Louis,REG,W,4-3,122,U,8.0,CLE,2023,20230528,52,0.45045045045045046,0
"May 29, 2023",@ Baltimore,REG,W,5-0,124,U,8.0,CLE,2023,20230529,53,0.44642857142857145,0
"May 30, 2023",@ Baltimore,REG,L,8-5,117,O,9.0,CLE,2023,20230530,54,0.4608294930875576,0
"May 31, 2023",@ Baltimore,REG,W,12-8,-115,O,8.5,CLE,2023,20230531,55,0.5348837209302326,0
