Date,Opponent,Game,Result,Score,Line,OU,Total,team_source,season,date_numeric,game_no,prob_implied,dblheader_num
"Mar 30, 2023",vs Chi White Sox,REG,L,3-2,-139,U,7.5,HOU,2023,20230330,1,0.5815899581589958,0
"Mar 31, 2023",vs Chi White Sox,REG,W,6-3,-158,O,8.0,HOU,2023,20230331,2,0.6124031007751938,0
"Apr 1, 2023",vs Chi White Sox,REG,W,6-4,-134,O,8.5,HOU,2023,20230401,3,0.5726495726495726,0
"Apr 2, 2023",vs Chi White Sox,REG,L,6-3,-145,O,8.0,HOU,2023,20230402,4,0.5918367346938775,0
"Apr 3, 2023",vs Detroit,REG,L,7-6,-250,O,8.0,HOU,2023,20230403,5,0.7142857142857143,0
"Apr 4, 2023",vs Detroit,REG,L,6-3,-280,O,7.5,HOU,2023,20230404,6,0.736842105263158,0
"Apr 5, 2023",vs Detroit,REG,W,8-2,-250,O,7.5,HOU,2023,20230405,7,0.7142857142857143,0
"Apr 7, 2023",@ Minnesota,REG,L,3-2,116,U,7.5,HOU,2023,20230407,8,0.46296296296296297,0
"Apr 8, 2023",@ Minnesota,REG,L,9-6,100,O,7.5,HOU,2023,20230408,9,0.5,0
"Apr 9, 2023",@ Minnesota,REG,W,5-1,-120,U,8.0,HOU,2023,20230409,10,0.5454545454545454,0
"Apr 10, 2023",@ Pittsburgh,REG,W,8-2,-180,O,8.0,HOU,2023,20230410,11,0.6428571428571428,0
"Apr 11, 2023",@ Pittsburgh,REG,L,7-4,-175,O,8.0,HOU,2023,20230411,12,0.6363636363636364,0
"Apr 12, 2023",@ Pittsburgh,REG,W,7-0,-154,U,9.5,HOU,2023,20230412,13,0.6062992125984252,0
"Apr 14, 2023",vs Texas,REG,L,6-2,-160,U,8.5,HOU,2023,20230414,14,0.6153846153846154,0
"Apr 15, 2023",vs Texas,REG,W,8-2,-182,O,8.0,HOU,2023,20230415,15,0.6453900709219857,0
"Apr 16, 2023",vs Texas,REG,L,9-1,-220,O,8.0,HOU,2023,20230416,16,0.6875,0
"Apr 17, 2023",vs Toronto,REG,W,9-2,105,O,8.0,HOU,2023,20230417,17,0.4878048780487805,0
"Apr 18, 2023",vs Toronto,REG,L,4-2,-115,U,9.0,HOU,2023,20230418,18,0.5348837209302326,0
"Apr 19, 2023",vs Toronto,REG,W,8-1,-101,P,9.0,HOU,2023,20230419,19,0.5024875621890548,0
"Apr 21, 2023",@ Atlanta,REG,W,6-4,101,O,8.5,HOU,2023,20230421,20,0.4975124378109453,0
"Apr 22, 2023",@ Atlanta,REG,W,6-3,102,O,8.5,HOU,2023,20230422,21,0.49504950495049505,0
"Apr 23, 2023",@ Atlanta,REG,W,5-2,115,U,8.0,HOU,2023,20230423,22,0.46511627906976744,0
"Apr 24, 2023",@ Tampa Bay,REG,L,8-3,170,O,8.5,HOU,2023,20230424,23,0.37037037037037035,0
