Date,Opponent,Game,Result,Score,Line,OU,Total,team_source,season,date_numeric,game_no,prob_implied,dblheader_num
"Mar 30, 2023",vs Minnesota,REG,L,2-0,139,U,9.0,KCA,2023,20230330,1,0.41841004184100417,0
"Apr 1, 2023",vs Minnesota,REG,L,2-0,140,U,8.0,KCA,2023,20230401,2,0.4166666666666667,0
"Apr 2, 2023",vs Minnesota,REG,L,7-4,122,O,9.0,KCA,2023,20230402,3,0.45045045045045046,0
"Apr 3, 2023",vs Toronto,REG,W,9-5,120,O,8.0,KCA,2023,20230403,4,0.45454545454545453,0
"Apr 4, 2023",vs Toronto,REG,L,4-1,145,U,10.0,KCA,2023,20230404,5,0.40816326530612246,0
"Apr 5, 2023",vs Toronto,REG,L,3-0,160,U,8.5,KCA,2023,20230405,6,0.38461538461538464,0
"Apr 6, 2023",vs Toronto,REG,L,6-3,185,O,8.5,KCA,2023,20230406,7,0.3508771929824561,0
"Apr 7, 2023",@ San Francisco,REG,W,3-1,175,U,8.0,KCA,2023,20230407,8,0.36363636363636365,0
"Apr 8, 2023",@ San Francisco,REG,W,6-5,126,O,8.5,KCA,2023,20230408,9,0.4424778761061947,0
"Apr 9, 2023",@ San Francisco,REG,L,3-1,135,U,8.5,KCA,2023,20230409,10,0.425531914893617,0
"Apr 10, 2023",@ Texas,REG,L,11-2,157,O,8.5,KCA,2023,20230410,11,0.38910505836575876,0
"Apr 11, 2023",@ Texas,REG,L,8-5,240,O,8.0,KCA,2023,20230411,12,0.29411764705882354,0
"Apr 12, 2023",@ Texas,REG,W,10-1,145,O,9.0,KCA,2023,20230412,13,0.40816326530612246,0
"Apr 14, 2023",vs Atlanta,REG,L,10-3,120,O,9.0,KCA,2023,20230414,14,0.45454545454545453,0
"Apr 15, 2023",vs Atlanta,REG,L,9-3,123,O,8.5,KCA,2023,20230415,15,0.4484304932735426,0
"Apr 16, 2023",vs Atlanta,REG,L,5-4,135,P,9.0,KCA,2023,20230416,16,0.425531914893617,0
