Date,Opponent,Game,Result,Score,Line,OU,Total,team_source,season,date_numeric,game_no,prob_implied,dblheader_num
"Mar 30, 2023",vs Arizona,REG,W,8-2,-165,O,7.0,LAN,2023,20230330,1,0.6226415094339622,0
"Mar 31, 2023",vs Arizona,REG,L,2-1,-190,U,7.5,LAN,2023,20230331,2,0.6551724137931034,0
"Apr 1, 2023",vs Arizona,REG,W,10-1,-270,O,8.0,LAN,2023,20230401,3,0.7297297297297297,0
"Apr 2, 2023",vs Arizona,REG,L,2-1,-185,U,8.5,LAN,2023,20230402,4,0.6491228070175439,0
"Apr 3, 2023",vs Colorado,REG,W,13-4,-225,O,8.5,LAN,2023,20230403,5,0.6923076923076923,0
"Apr 4, 2023",vs Colorado,REG,W,5-2,-250,U,7.5,LAN,2023,20230404,6,0.7142857142857143,0
"Apr 6, 2023",@ Arizona,REG,W,5-2,-163,U,8.5,LAN,2023,20230406,7,0.6197718631178708,0
"Apr 7, 2023",@ Arizona,REG,L,6-3,-250,P,9.0,LAN,2023,20230407,8,0.7142857142857143,0
"Apr 8, 2023",@ Arizona,REG,L,12-8,-161,O,9.5,LAN,2023,20230408,9,0.6168582375478927,0
"Apr 9, 2023",@ Arizona,REG,L,11-6,-135,O,9.5,LAN,2023,20230409,10,0.574468085106383,0
"Apr 10, 2023",@ San Francisco,REG,W,9-1,-158,O,7.5,LAN,2023,20230410,11,0.6124031007751938,0
"Apr 11, 2023",@ San Francisco,REG,L,5-0,-152,U,8.5,LAN,2023,20230411,12,0.6031746031746033,0
"Apr 12, 2023",@ San Francisco,REG,W,10-5,-155,O,7.5,LAN,2023,20230412,13,0.607843137254902,0
"Apr 14, 2023",vs Chi Cubs,REG,L,8-2,-153,O,8.5,LAN,2023,20230414,14,0.6047430830039526,0
"Apr 15, 2023",vs Chi Cubs,REG,W,2-1,-145,U,9.0,LAN,2023,20230415,15,0.5918367346938775,0
"Apr 16, 2023",vs Chi Cubs,REG,L,3-2,-240,U,8.0,LAN,2023,20230416,16,0.7058823529411764,0
"Apr 17, 2023",vs NY Mets,REG,L,8-6,-132,O,8.5,LAN,2023,20230417,17,0.5689655172413793,0
"Apr 18, 2023",vs NY Mets,REG,W,5-0,-150,U,8.0,LAN,2023,20230418,18,0.6,0
"Apr 19, 2023",vs NY Mets,REG,L,5-3,120,U,9.0,LAN,2023,20230419,19,0.45454545454545453,0
"Apr 20, 2023",@ Chi Cubs,REG,W,6-2,-110,U,11.5,LAN,2023,20230420,20,0.5238095238095238,0
"Apr 21, 2023",@ Chi Cubs,REG,L,13-0,-178,O,9.5,LAN,2023,20230421,21,0.6402877697841727,0
"Apr 22, 2023",@ Chi Cubs,REG,W,9-4,-125,O,8.5,LAN,2023,20230422,22,0.5555555555555556,0
"Apr 23, 2023",@ Chi Cubs,REG,W,7-3,-145,O,7.5,LAN,2023,20230423,23,0.5918367346938775,0
"Apr 25, 2023",@ Pittsburgh,REG,W,8-7,-115,O,8.0,LAN,2023,20230425,24,0.5348837209302326,0
"Apr 26, 2023",@ Pittsburgh,REG,L,8-1,-140,O,8.5,LAN,2023,20230426,25,0.5833333333333333,0
"Apr 27, 2023",@ Pittsburgh,REG,L,6-2,-155,O,7.5,LAN,2023,20230427,26,0.607843137254902,0
"Apr 28, 2023",vs St. Louis,REG,W,7-3,-132,O,8.5,LAN,2023,20230428,27,0.5689655172413793,0
"Apr 29, 2023",vs St. Louis,REG,W,1-0,-150,U,8.0,LAN,2023,20230429,28,0.6,0
"Apr 30, 2023",vs St. Louis,REG,W,6-3,-137,U,10.5,LAN,2023,20230430,29,0.5780590717299579,0
"May 1, 2023",vs Philadelphia,REG,W,13-4,-174,O,8.5,LAN,2023,20230501,30,0.635036496350365,0
"May 2, 2023",vs Philadelphia,REG,W,13-1,-147,O,8.0,LAN,2023,20230502,31,0.5951417004048583,0
