Date,Opponent,Game,Result,Score,Line,OU,Total,team_source,season,date_numeric,game_no,prob_implied,dblheader_num
"Mar 28, 2024",vs Pittsburgh,REG,,,,,,MIA,2019,20240328,1,,0
"Mar 29, 2024",vs Pittsburgh,REG,,,,,,MIA,2019,20240329,2,,0
"Mar 30, 2024",vs Pittsburgh,REG,,,,,,MIA,2019,20240330,3,,0
"Mar 31, 2024",vs Pittsburgh,REG,,,,,,MIA,2019,20240331,4,,0
"Apr 1, 2024",vs LA Angels,REG,,,,,,MIA,2019,20240401,5,,0
"Apr 2, 2024",vs LA Angels,REG,,,,,,MIA,2019,20240402,6,,0
"Apr 3, 2024",vs LA Angels,REG,,,,,,MIA,2019,20240403,7,,0
"Apr 4, 2024",@ St. Louis,REG,,,,,,MIA,2019,20240404,8,,0
"Apr 6, 2024",@ St. Louis,REG,,,,,,MIA,2019,20240406,9,,0
"Apr 7, 2024",@ St. Louis,REG,,,,,,MIA,2019,20240407,10,,0
"Apr 8, 2024",@ NY Yankees,REG,,,,,,MIA,2019,20240408,11,,0
"Apr 9, 2024",@ NY Yankees,REG,,,,,,MIA,2019,20240409,12,,0
"Apr 10, 2024",@ NY Yankees,REG,,,,,,MIA,2019,20240410,13,,0
"Apr 12, 2024",vs Atlanta,REG,,,,,,MIA,2019,20240412,14,,0
"Apr 13, 2024",vs Atlanta,REG,,,,,,MIA,2019,20240413,15,,0
"Apr 14, 2024",vs Atlanta,REG,,,,,,MIA,2019,20240414,16,,0
"Apr 15, 2024",vs San Francisco,REG,,,,,,MIA,2019,20240415,17,,0
"Apr 16, 2024",vs San Francisco,REG,,,,,,MIA,2019,20240416,18,,0
"Apr 17, 2024",vs San Francisco,REG,,,,,,MIA,2019,20240417,19,,0
"Apr 18, 2024",@ Chi Cubs,REG,,,,,,MIA,2019,20240418,20,,0
"Apr 19, 2024",@ Chi Cubs,REG,,,,,,MIA,2019,20240419,21,,0
"Apr 20, 2024",@ Chi Cubs,REG,,,,,,MIA,2019,20240420,22,,0
"Apr 21, 2024",@ Chi Cubs,REG,,,,,,MIA,2019,20240421,23,,0
"Apr 22, 2024",@ Atlanta,REG,,,,,,MIA,2019,20240422,24,,0
"Apr 23, 2024",@ Atlanta,REG,,,,,,MIA,2019,20240423,25,,0
"Apr 24, 2024",@ Atlanta,REG,,,,,,MIA,2019,20240424,26,,0
"Apr 26, 2024",vs Washington,REG,,,,,,MIA,2019,20240426,27,,0
"Apr 27, 2024",vs Washington,REG,,,,,,MIA,2019,20240427,28,,0
"Apr 28, 2024",vs Washington,REG,,,,,,MIA,2019,20240428,29,,0
"Apr 29, 2024",vs Washington,REG,,,,,,MIA,2019,20240429,30,,0
"Apr 30, 2024",vs Colorado,REG,,,,,,MIA,2019,20240430,31,,0
"May 1, 2024",vs Colorado,REG,,,,,,MIA,2019,20240501,32,,0
"May 2, 2024",vs Colorado,REG,,,,,,MIA,2019,20240502,33,,0
"May 3, 2024",@ Oakland,REG,,,,,,MIA,2019,20240503,34,,0
"May 4, 2024",@ Oakland,REG,,,,,,MIA,2019,20240504,35,,0
"May 5, 2024",@ Oakland,REG,,,,,,MIA,2019,20240505,36,,0
"May 6, 2024",@ LA Dodgers,REG,,,,,,MIA,2019,20240506,37,,0
"May 7, 2024",@ LA Dodgers,REG,,,,,,MIA,2019,20240507,38,,0
"May 8, 2024",@ LA Dodgers,REG,,,,,,MIA,2019,20240508,39,,0
"May 10, 2024",vs Philadelphia,REG,,,,,,MIA,2019,20240510,40,,0
"May 11, 2024",vs Philadelphia,REG,,,,,,MIA,2019,20240511,41,,0
"May 12, 2024",vs Philadelphia,REG,,,,,,MIA,2019,20240512,42,,0
"May 13, 2024",@ Detroit,REG,,,,,,MIA,2019,20240513,43,,0
"May 14, 2024",@ Detroit,REG,,,,,,MIA,2019,20240514,44,,0
"May 15, 2024",@ Detroit,REG,,,,,,MIA,2019,20240515,45,,0
"May 17, 2024",vs NY Mets,REG,,,,,,MIA,2019,20240517,46,,0
"May 18, 2024",vs NY Mets,REG,,,,,,MIA,2019,20240518,47,,0
"May 19, 2024",vs NY Mets,REG,,,,,,MIA,2019,20240519,48,,0
"May 20, 2024",vs Milwaukee,REG,,,,,,MIA,2019,20240520,49,,0
"May 21, 2024",vs Milwaukee,REG,,,,,,MIA,2019,20240521,50,,0
"May 22, 2024",vs Milwaukee,REG,,,,,,MIA,2019,20240522,51,,0
"May 24, 2024",@ Arizona,REG,,,,,,MIA,2019,20240524,52,,0
"May 25, 2024",@ Arizona,REG,,,,,,MIA,2019,20240525,53,,0
"May 26, 2024",@ Arizona,REG,,,,,,MIA,2019,20240526,54,,0
"May 27, 2024",@ San Diego,REG,,,,,,MIA,2019,20240527,55,,0
"May 28, 2024",@ San Diego,REG,,,,,,MIA,2019,20240528,56,,0
"May 29, 2024",@ San Diego,REG,,,,,,MIA,2019,20240529,57,,0
"May 31, 2024",vs Texas,REG,,,,,,MIA,2019,20240531,58,,0
"Jun 1, 2024",vs Texas,REG,,,,,,MIA,2019,20240601,59,,0
"Jun 2, 2024",vs Texas,REG,,,,,,MIA,2019,20240602,60,,0
"Jun 4, 2024",vs Tampa Bay,REG,,,,,,MIA,2019,20240604,61,,0
"Jun 5, 2024",vs Tampa Bay,REG,,,,,,MIA,2019,20240605,62,,0
"Jun 7, 2024",vs Cleveland,REG,,,,,,MIA,2019,20240607,63,,0
"Jun 8, 2024",vs Cleveland,REG,,,,,,MIA,2019,20240608,64,,0
"Jun 9, 2024",vs Cleveland,REG,,,,,,MIA,2019,20240609,65,,0
