Date,Opponent,Game,Result,Score,Line,OU,Total,team_source,season,date_numeric,game_no,prob_implied,dblheader_num
"Mar 30, 2023",@ Chi Cubs,REG,L,4-0,-130,U,6.5,MIL,2023,20230330,1,0.5652173913043479,0
"Apr 1, 2023",@ Chi Cubs,REG,W,3-1,-120,U,6.5,MIL,2023,20230401,2,0.5454545454545454,0
"Apr 2, 2023",@ Chi Cubs,REG,W,9-5,115,O,9.0,MIL,2023,20230402,3,0.46511627906976744,0
"Apr 3, 2023",vs NY Mets,REG,W,10-0,-110,O,8.5,MIL,2023,20230403,4,0.5238095238095238,0
"Apr 4, 2023",vs NY Mets,REG,W,9-0,135,O,8.0,MIL,2023,20230404,5,0.425531914893617,0
"Apr 5, 2023",vs NY Mets,REG,W,7-6,-130,O,8.0,MIL,2023,20230405,6,0.5652173913043479,0
"Apr 7, 2023",vs St. Louis,REG,W,4-0,-150,U,8.5,MIL,2023,20230407,7,0.6,0
"Apr 8, 2023",vs St. Louis,REG,L,6-0,145,U,9.0,MIL,2023,20230408,8,0.40816326530612246,0
"Apr 9, 2023",vs St. Louis,REG,W,6-1,-150,U,9.0,MIL,2023,20230409,9,0.6,0
"Apr 10, 2023",@ Arizona,REG,L,3-0,130,U,9.0,MIL,2023,20230410,10,0.43478260869565216,0
"Apr 11, 2023",@ Arizona,REG,W,7-1,-117,U,8.5,MIL,2023,20230411,11,0.5391705069124424,0
"Apr 12, 2023",@ Arizona,REG,L,7-3,121,O,9.5,MIL,2023,20230412,12,0.45248868778280543,0
"Apr 13, 2023",@ San Diego,REG,W,4-3,135,U,9.0,MIL,2023,20230413,13,0.425531914893617,0
"Apr 14, 2023",@ San Diego,REG,W,11-2,150,O,9.0,MIL,2023,20230414,14,0.4,0
"Apr 15, 2023",@ San Diego,REG,L,10-3,130,O,7.5,MIL,2023,20230415,15,0.43478260869565216,0
"Apr 16, 2023",@ San Diego,REG,W,1-0,155,U,8.0,MIL,2023,20230416,16,0.39215686274509803,0
"Apr 17, 2023",@ Seattle,REG,W,7-3,-145,O,7.5,MIL,2023,20230417,17,0.5918367346938775,0
"Apr 18, 2023",@ Seattle,REG,W,6-5,140,O,8.0,MIL,2023,20230418,18,0.4166666666666667,0
"Apr 19, 2023",@ Seattle,REG,W,5-3,115,U,8.5,MIL,2023,20230419,19,0.46511627906976744,0
"Apr 21, 2023",vs Boston,REG,L,5-3,-165,U,8.5,MIL,2023,20230421,20,0.6226415094339622,0
"Apr 22, 2023",vs Boston,REG,W,5-4,-124,O,8.5,MIL,2023,20230422,21,0.5535714285714286,0
"Apr 23, 2023",vs Boston,REG,L,12-5,-165,O,8.0,MIL,2023,20230423,22,0.6226415094339622,0
"Apr 24, 2023",vs Detroit,REG,L,4-2,-148,U,8.5,MIL,2023,20230424,23,0.5967741935483871,0
"Apr 25, 2023",vs Detroit,REG,L,4-3,-170,U,8.5,MIL,2023,20230425,24,0.6296296296296297,0
"Apr 26, 2023",vs Detroit,REG,W,6-2,-200,P,8.0,MIL,2023,20230426,25,0.6666666666666667,0
"Apr 28, 2023",vs LA Angels,REG,W,2-1,-140,U,9.0,MIL,2023,20230428,26,0.5833333333333333,0
"Apr 29, 2023",vs LA Angels,REG,W,7-5,-138,O,8.0,MIL,2023,20230429,27,0.5798319327731092,0
"Apr 30, 2023",vs LA Angels,REG,L,3-0,-118,U,9.5,MIL,2023,20230430,28,0.5412844036697247,0
"May 2, 2023",@ Colorado,REG,L,3-2,-165,U,11.0,MIL,2023,20230502,29,0.6226415094339622,0
"May 3, 2023",@ Colorado,REG,L,7-1,-115,U,12.0,MIL,2023,20230503,30,0.5348837209302326,0
"May 4, 2023",@ Colorado,REG,L,9-6,-150,O,12.0,MIL,2023,20230504,31,0.6,0
"May 5, 2023",@ San Francisco,REG,L,6-4,-125,O,8.0,MIL,2023,20230505,32,0.5555555555555556,0
"May 6, 2023",@ San Francisco,REG,L,4-1,145,U,8.5,MIL,2023,20230506,33,0.40816326530612246,0
"May 7, 2023",@ San Francisco,REG,W,7-3,120,O,9.0,MIL,2023,20230507,34,0.45454545454545453,0
"May 8, 2023",vs LA Dodgers,REG,W,9-3,-117,O,8.5,MIL,2023,20230508,35,0.5391705069124424,0
"May 9, 2023",vs LA Dodgers,REG,L,6-2,110,U,9.5,MIL,2023,20230509,36,0.47619047619047616,0
"May 10, 2023",vs LA Dodgers,REG,L,8-1,145,O,8.0,MIL,2023,20230510,37,0.40816326530612246,0
"May 12, 2023",vs Kansas City,REG,W,5-1,-275,U,8.5,MIL,2023,20230512,38,0.7333333333333334,0
"May 13, 2023",vs Kansas City,REG,W,4-3,-165,U,9.0,MIL,2023,20230513,39,0.6226415094339622,0
"May 14, 2023",vs Kansas City,REG,W,9-6,-167,O,9.5,MIL,2023,20230514,40,0.6254681647940075,0
"May 15, 2023",@ St. Louis,REG,L,18-1,-112,O,8.0,MIL,2023,20230515,41,0.5283018867924528,0
"May 16, 2023",@ St. Louis,REG,W,3-2,160,U,8.5,MIL,2023,20230516,42,0.38461538461538464,0
"May 17, 2023",@ St. Louis,REG,L,3-0,107,U,8.0,MIL,2023,20230517,43,0.4830917874396135,0
"May 19, 2023",@ Tampa Bay,REG,L,1-0,190,U,8.0,MIL,2023,20230519,44,0.3448275862068966,0
"May 20, 2023",@ Tampa Bay,REG,L,8-4,170,O,8.5,MIL,2023,20230520,45,0.37037037037037035,0
"May 21, 2023",@ Tampa Bay,REG,W,6-4,120,O,8.0,MIL,2023,20230521,46,0.45454545454545453,0
"May 22, 2023",vs Houston,REG,L,12-2,-110,O,7.5,MIL,2023,20230522,47,0.5238095238095238,0
"May 23, 2023",vs Houston,REG,W,6-0,110,U,9.5,MIL,2023,20230523,48,0.47619047619047616,0
"May 24, 2023",vs Houston,REG,W,4-0,-110,U,9.0,MIL,2023,20230524,49,0.5238095238095238,0
"May 25, 2023",vs San Francisco,REG,L,5-0,115,U,9.0,MIL,2023,20230525,50,0.46511627906976744,0
"May 26, 2023",vs San Francisco,REG,L,15-1,-150,O,8.0,MIL,2023,20230526,51,0.6,0
"May 27, 2023",vs San Francisco,REG,L,3-1,-115,U,7.5,MIL,2023,20230527,52,0.5348837209302326,0
"May 28, 2023",vs San Francisco,REG,W,7-5,112,O,8.0,MIL,2023,20230528,53,0.4716981132075472,0
"May 30, 2023",@ Toronto,REG,L,7-2,140,P,9.0,MIL,2023,20230530,54,0.4166666666666667,0
"May 31, 2023",@ Toronto,REG,W,4-2,126,U,10.0,MIL,2023,20230531,55,0.4424778761061947,0
