Date,Opponent,Game,Result,Score,Line,OU,Total,team_source,season,date_numeric,game_no,prob_implied,dblheader_num
"Mar 28, 2024",@ Kansas City,REG,,,,,,MIN,2019,20240328,1,,0
"Mar 30, 2024",@ Kansas City,REG,,,,,,MIN,2019,20240330,2,,0
"Mar 31, 2024",@ Kansas City,REG,,,,,,MIN,2019,20240331,3,,0
"Apr 2, 2024",@ Milwaukee,REG,,,,,,MIN,2019,20240402,4,,0
"Apr 3, 2024",@ Milwaukee,REG,,,,,,MIN,2019,20240403,5,,0
"Apr 4, 2024",vs Cleveland,REG,,,,,,MIN,2019,20240404,6,,0
"Apr 6, 2024",vs Cleveland,REG,,,,,,MIN,2019,20240406,7,,0
"Apr 7, 2024",vs Cleveland,REG,,,,,,MIN,2019,20240407,8,,0
"Apr 8, 2024",vs LA Dodgers,REG,,,,,,MIN,2019,20240408,9,,0
"Apr 9, 2024",vs LA Dodgers,REG,,,,,,MIN,2019,20240409,10,,0
"Apr 10, 2024",vs LA Dodgers,REG,,,,,,MIN,2019,20240410,11,,0
"Apr 11, 2024",@ Detroit,REG,,,,,,MIN,2019,20240411,12,,0
"Apr 12, 2024",@ Detroit,REG,,,,,,MIN,2019,20240412,13,,0
"Apr 13, 2024",@ Detroit,REG,,,,,,MIN,2019,20240413,14,,0
"Apr 14, 2024",@ Detroit,REG,,,,,,MIN,2019,20240414,15,,0
"Apr 15, 2024",@ Baltimore,REG,,,,,,MIN,2019,20240415,16,,0
"Apr 16, 2024",@ Baltimore,REG,,,,,,MIN,2019,20240416,17,,0
"Apr 17, 2024",@ Baltimore,REG,,,,,,MIN,2019,20240417,18,,0
"Apr 19, 2024",vs Detroit,REG,,,,,,MIN,2019,20240419,19,,0
"Apr 20, 2024",vs Detroit,REG,,,,,,MIN,2019,20240420,20,,0
"Apr 21, 2024",vs Detroit,REG,,,,,,MIN,2019,20240421,21,,0
"Apr 22, 2024",vs Chi White Sox,REG,,,,,,MIN,2019,20240422,22,,0
"Apr 23, 2024",vs Chi White Sox,REG,,,,,,MIN,2019,20240423,23,,0
"Apr 24, 2024",vs Chi White Sox,REG,,,,,,MIN,2019,20240424,24,,0
