Date,Opponent,Game,Result,Score,Line,OU,Total,team_source,season,date_numeric,game_no,prob_implied,dblheader_num
"Mar 30, 2023",vs San Francisco,REG,W,5-0,-170,U,6.5,NYA,2023,20230330,1,0.6296296296296297,0
"Apr 1, 2023",vs San Francisco,REG,L,7-5,-136,O,8.5,NYA,2023,20230401,2,0.576271186440678,0
"Apr 2, 2023",vs San Francisco,REG,W,6-0,-130,U,8.0,NYA,2023,20230402,3,0.5652173913043479,0
"Apr 3, 2023",vs Philadelphia,REG,W,8-1,-175,O,7.5,NYA,2023,20230403,4,0.6363636363636364,0
"Apr 4, 2023",vs Philadelphia,REG,L,4-1,-155,U,8.5,NYA,2023,20230404,5,0.607843137254902,0
"Apr 5, 2023",vs Philadelphia,REG,W,4-2,-170,U,6.5,NYA,2023,20230405,6,0.6296296296296297,0
"Apr 7, 2023",@ Baltimore,REG,L,7-6,-120,O,8.5,NYA,2023,20230407,7,0.5454545454545454,0
"Apr 8, 2023",@ Baltimore,REG,W,4-1,-126,U,8.5,NYA,2023,20230408,8,0.5575221238938053,0
"Apr 9, 2023",@ Baltimore,REG,W,5-3,-145,O,7.5,NYA,2023,20230409,9,0.5918367346938775,0
"Apr 10, 2023",@ Cleveland,REG,L,3-2,143,U,7.5,NYA,2023,20230410,10,0.411522633744856,0
"Apr 11, 2023",@ Cleveland,REG,W,11-2,-185,O,8.5,NYA,2023,20230411,11,0.6491228070175439,0
"Apr 12, 2023",@ Cleveland,REG,W,4-3,-115,U,9.5,NYA,2023,20230412,12,0.5348837209302326,0
"Apr 13, 2023",vs Minnesota,REG,L,11-2,-140,O,9.0,NYA,2023,20230413,13,0.5833333333333333,0
"Apr 14, 2023",vs Minnesota,REG,L,4-3,-175,U,8.5,NYA,2023,20230414,14,0.6363636363636364,0
"Apr 15, 2023",vs Minnesota,REG,W,6-1,-150,U,8.5,NYA,2023,20230415,15,0.6,0
"Apr 16, 2023",vs Minnesota,REG,W,2-0,-160,U,7.0,NYA,2023,20230416,16,0.6153846153846154,0
"Apr 18, 2023",vs LA Angels,REG,L,5-2,-150,U,9.5,NYA,2023,20230418,17,0.6,0
"Apr 19, 2023",vs LA Angels,REG,W,3-2,-130,U,9.0,NYA,2023,20230419,18,0.5652173913043479,0
"Apr 20, 2023",vs LA Angels,REG,W,9-3,-150,O,8.5,NYA,2023,20230420,19,0.6,0
"Apr 21, 2023",vs Toronto,REG,L,6-1,-128,U,8.5,NYA,2023,20230421,20,0.5614035087719298,0
"Apr 22, 2023",vs Toronto,REG,W,3-2,-175,U,7.0,NYA,2023,20230422,21,0.6363636363636364,0
"Apr 23, 2023",vs Toronto,REG,L,5-1,117,U,8.5,NYA,2023,20230423,22,0.4608294930875576,0
"Apr 24, 2023",@ Minnesota,REG,L,6-1,132,U,8.0,NYA,2023,20230424,23,0.43103448275862066,0
"Apr 25, 2023",@ Minnesota,REG,L,6-2,115,O,6.5,NYA,2023,20230425,24,0.46511627906976744,0
"Apr 26, 2023",@ Minnesota,REG,W,12-6,-105,O,7.5,NYA,2023,20230426,25,0.5121951219512195,0
"Apr 27, 2023",@ Texas,REG,W,4-2,-180,U,8.0,NYA,2023,20230427,26,0.6428571428571428,0
"Apr 28, 2023",@ Texas,REG,L,5-2,185,P,7.0,NYA,2023,20230428,27,0.3508771929824561,0
"Apr 29, 2023",@ Texas,REG,L,2-0,140,U,8.5,NYA,2023,20230429,28,0.4166666666666667,0
"Apr 30, 2023",@ Texas,REG,L,15-2,-116,O,8.0,NYA,2023,20230430,29,0.537037037037037,0
"May 1, 2023",vs Cleveland,REG,L,3-2,-120,U,8.5,NYA,2023,20230501,30,0.5454545454545454,0
"May 2, 2023",vs Cleveland,REG,W,4-2,-153,U,7.0,NYA,2023,20230502,31,0.6047430830039526,0
"May 3, 2023",vs Cleveland,REG,W,4-3,110,U,7.5,NYA,2023,20230503,32,0.47619047619047616,0
