Date,Opponent,Game,Result,Score,Line,OU,Total,team_source,season,date_numeric,game_no,prob_implied,dblheader_num
"Mar 30, 2023",@ Miami,REG,W,5-3,-135,O,7.0,NYN,2023,20230330,1,0.574468085106383,0
"Mar 31, 2023",@ Miami,REG,L,2-1,-105,U,8.0,NYN,2023,20230331,2,0.5121951219512195,0
"Apr 1, 2023",@ Miami,REG,W,6-2,-105,U,8.5,NYN,2023,20230401,3,0.5121951219512195,0
"Apr 2, 2023",@ Miami,REG,W,5-1,-115,U,7.5,NYN,2023,20230402,4,0.5348837209302326,0
"Apr 3, 2023",@ Milwaukee,REG,L,10-0,100,O,8.5,NYN,2023,20230403,5,0.5,0
"Apr 4, 2023",@ Milwaukee,REG,L,9-0,-150,O,8.0,NYN,2023,20230404,6,0.6,0
"Apr 5, 2023",@ Milwaukee,REG,L,7-6,120,O,8.0,NYN,2023,20230405,7,0.45454545454545453,0
"Apr 7, 2023",vs Miami,REG,W,9-3,-170,O,8.0,NYN,2023,20230407,8,0.6296296296296297,0
"Apr 8, 2023",vs Miami,REG,W,5-2,-173,U,7.5,NYN,2023,20230408,9,0.6336996336996337,0
"Apr 9, 2023",vs Miami,REG,L,7-2,-141,O,8.0,NYN,2023,20230409,10,0.5850622406639003,0
"Apr 10, 2023",vs San Diego,REG,W,5-0,-130,U,7.5,NYN,2023,20230410,11,0.5652173913043479,0
"Apr 11, 2023",vs San Diego,REG,L,4-2,-141,U,9.0,NYN,2023,20230411,12,0.5850622406639003,0
"Apr 12, 2023",vs San Diego,REG,W,5-2,-116,U,9.0,NYN,2023,20230412,13,0.537037037037037,0
"Apr 14, 2023",@ Oakland,REG,W,17-6,-220,O,8.0,NYN,2023,20230414,14,0.6875,0
"Apr 15, 2023",@ Oakland,REG,W,3-2,-180,U,9.5,NYN,2023,20230415,15,0.6428571428571428,0
"Apr 16, 2023",@ Oakland,REG,W,4-3,-155,U,8.5,NYN,2023,20230416,16,0.607843137254902,0
"Apr 17, 2023",@ LA Dodgers,REG,W,8-6,122,O,8.5,NYN,2023,20230417,17,0.45045045045045046,0
"Apr 18, 2023",@ LA Dodgers,REG,L,5-0,135,U,8.0,NYN,2023,20230418,18,0.425531914893617,0
"Apr 19, 2023",@ LA Dodgers,REG,W,5-3,-130,U,9.0,NYN,2023,20230419,19,0.5652173913043479,0
"Apr 20, 2023",@ San Francisco,REG,W,9-4,-119,O,8.5,NYN,2023,20230420,20,0.54337899543379,0
"Apr 21, 2023",@ San Francisco,REG,W,7-0,100,U,9.0,NYN,2023,20230421,21,0.5,0
"Apr 22, 2023",@ San Francisco,REG,L,7-4,110,O,8.5,NYN,2023,20230422,22,0.47619047619047616,0
"Apr 23, 2023",@ San Francisco,REG,L,5-4,-125,P,9.0,NYN,2023,20230423,23,0.5555555555555556,0
"Apr 25, 2023",vs Washington,REG,L,5-0,-205,U,8.5,NYN,2023,20230425,24,0.6721311475409837,0
"Apr 26, 2023",vs Washington,REG,L,4-1,-215,U,8.5,NYN,2023,20230426,25,0.6825396825396826,0
"Apr 27, 2023",vs Washington,REG,W,9-8,-220,O,8.5,NYN,2023,20230427,26,0.6875,0
"Apr 28, 2023",vs Atlanta,REG,L,4-0,120,U,7.5,NYN,2023,20230428,27,0.45454545454545453,0
"May 1, 2023",vs Atlanta,REG,L,9-8,170,O,8.0,NYN,2023,20230501,28,0.37037037037037035,1
"May 1, 2023",vs Atlanta,REG,W,5-3,-105,U,9.0,NYN,2023,20230501,29,0.5121951219512195,2
"May 3, 2023",@ Detroit,REG,L,6-5,-170,O,9.0,NYN,2023,20230503,30,0.6296296296296297,1
"May 3, 2023",@ Detroit,REG,L,8-1,-225,O,8.5,NYN,2023,20230503,31,0.6923076923076923,2
"May 4, 2023",@ Detroit,REG,L,2-0,-170,U,7.5,NYN,2023,20230504,32,0.6296296296296297,0
"May 5, 2023",vs Colorado,REG,W,1-0,-260,U,8.0,NYN,2023,20230505,33,0.7222222222222222,0
"May 6, 2023",vs Colorado,REG,L,5-2,-220,U,8.5,NYN,2023,20230506,34,0.6875,0
"May 7, 2023",vs Colorado,REG,L,13-6,-200,O,8.5,NYN,2023,20230507,35,0.6666666666666667,0
"May 9, 2023",@ Cincinnati,REG,L,7-6,-160,O,11.0,NYN,2023,20230509,36,0.6153846153846154,0
"May 10, 2023",@ Cincinnati,REG,W,2-1,-154,U,9.0,NYN,2023,20230510,37,0.6062992125984252,0
"May 11, 2023",@ Cincinnati,REG,L,5-0,-200,U,10.0,NYN,2023,20230511,38,0.6666666666666667,0
"May 12, 2023",@ Washington,REG,W,3-2,-118,U,9.0,NYN,2023,20230512,39,0.5412844036697247,0
"May 13, 2023",@ Washington,REG,L,3-2,-145,U,9.0,NYN,2023,20230513,40,0.5918367346938775,0
"May 14, 2023",@ Washington,REG,W,8-2,-200,O,9.0,NYN,2023,20230514,41,0.6666666666666667,0
"May 15, 2023",@ Washington,REG,L,10-3,-160,O,10.0,NYN,2023,20230515,42,0.6153846153846154,0
"May 16, 2023",vs Tampa Bay,REG,L,8-5,-153,O,9.0,NYN,2023,20230516,43,0.6047430830039526,0
"May 17, 2023",vs Tampa Bay,REG,W,8-7,-124,O,8.5,NYN,2023,20230517,44,0.5535714285714286,0
"May 18, 2023",vs Tampa Bay,REG,W,3-2,-105,U,9.0,NYN,2023,20230518,45,0.5121951219512195,0
"May 19, 2023",vs Cleveland,REG,W,10-9,-137,O,8.5,NYN,2023,20230519,46,0.5780590717299579,0
"May 21, 2023",vs Cleveland,REG,W,5-4,-155,O,7.5,NYN,2023,20230521,47,0.607843137254902,1
"May 21, 2023",vs Cleveland,REG,W,2-1,-140,U,7.0,NYN,2023,20230521,48,0.5833333333333333,2
"May 23, 2023",@ Chi Cubs,REG,L,7-2,102,O,8.5,NYN,2023,20230523,49,0.49504950495049505,0
"May 24, 2023",@ Chi Cubs,REG,L,4-2,-105,U,6.5,NYN,2023,20230524,50,0.5121951219512195,0
"May 25, 2023",@ Chi Cubs,REG,W,10-1,-110,O,8.0,NYN,2023,20230525,51,0.5238095238095238,0
"May 26, 2023",@ Colorado,REG,W,5-2,-210,U,11.5,NYN,2023,20230526,52,0.6774193548387097,0
"May 27, 2023",@ Colorado,REG,L,10-7,-200,O,11.0,NYN,2023,20230527,53,0.6666666666666667,0
"May 28, 2023",@ Colorado,REG,L,11-10,-140,O,13.0,NYN,2023,20230528,54,0.5833333333333333,0
"May 30, 2023",vs Philadelphia,REG,W,2-0,-150,U,8.5,NYN,2023,20230530,55,0.6,0
"May 31, 2023",vs Philadelphia,REG,W,4-1,110,U,9.0,NYN,2023,20230531,56,0.47619047619047616,0
"Jun 1, 2023",vs Philadelphia,REG,W,4-2,-180,U,8.5,NYN,2023,20230601,57,0.6428571428571428,0
"Jun 2, 2023",vs Toronto,REG,L,3-0,-130,U,8.5,NYN,2023,20230602,58,0.5652173913043479,0
"Jun 3, 2023",vs Toronto,REG,L,2-1,118,U,8.5,NYN,2023,20230603,59,0.45871559633027525,0
"Jun 4, 2023",vs Toronto,REG,L,6-4,-141,O,8.5,NYN,2023,20230604,60,0.5850622406639003,0
"Jun 6, 2023",@ Atlanta,REG,L,6-4,145,U,10.5,NYN,2023,20230606,61,0.40816326530612246,0
"Jun 7, 2023",@ Atlanta,REG,L,7-5,115,O,9.5,NYN,2023,20230607,62,0.46511627906976744,0
"Jun 8, 2023",@ Atlanta,REG,L,13-10,155,O,8.5,NYN,2023,20230608,63,0.39215686274509803,0
"Jun 9, 2023",@ Pittsburgh,REG,L,14-7,100,O,9.5,NYN,2023,20230609,64,0.5,0
"Jun 10, 2023",@ Pittsburgh,REG,W,5-1,-120,U,9.5,NYN,2023,20230610,65,0.5454545454545454,0
"Jun 11, 2023",@ Pittsburgh,REG,L,2-1,115,U,8.5,NYN,2023,20230611,66,0.46511627906976744,0
"Jun 13, 2023",vs NY Yankees,REG,L,7-6,-165,O,7.5,NYN,2023,20230613,67,0.6226415094339622,0
"Jun 14, 2023",vs NY Yankees,REG,W,4-3,-110,U,7.5,NYN,2023,20230614,68,0.5238095238095238,0
"Jun 16, 2023",vs St. Louis,REG,W,6-1,100,U,9.0,NYN,2023,20230616,69,0.5,0
"Jun 17, 2023",vs St. Louis,REG,L,5-3,-150,U,9.0,NYN,2023,20230617,70,0.6,0
"Jun 18, 2023",vs St. Louis,REG,L,8-7,-130,O,9.5,NYN,2023,20230618,71,0.5652173913043479,0
"Jun 19, 2023",@ Houston,REG,W,11-1,105,O,7.5,NYN,2023,20230619,72,0.4878048780487805,0
"Jun 20, 2023",@ Houston,REG,L,4-2,120,U,7.5,NYN,2023,20230620,73,0.45454545454545453,0
"Jun 21, 2023",@ Houston,REG,L,10-8,122,O,8.5,NYN,2023,20230621,74,0.45045045045045046,0
"Jun 23, 2023",@ Philadelphia,REG,L,5-1,-105,U,9.5,NYN,2023,20230623,75,0.5121951219512195,0
"Jun 24, 2023",@ Philadelphia,REG,W,4-2,-122,U,9.5,NYN,2023,20230624,76,0.5495495495495495,0
"Jun 25, 2023",@ Philadelphia,REG,L,7-6,165,O,9.5,NYN,2023,20230625,77,0.37735849056603776,0
"Jun 26, 2023",vs Milwaukee,REG,L,2-1,-170,U,8.5,NYN,2023,20230626,78,0.6296296296296297,0
"Jun 27, 2023",vs Milwaukee,REG,W,7-2,-145,P,9.0,NYN,2023,20230627,79,0.5918367346938775,0
"Jun 28, 2023",vs Milwaukee,REG,L,5-2,-150,U,8.5,NYN,2023,20230628,80,0.6,0
"Jun 29, 2023",vs Milwaukee,REG,L,3-2,-200,U,8.5,NYN,2023,20230629,81,0.6666666666666667,0
"Jun 30, 2023",vs San Francisco,REG,L,5-4,120,P,9.0,NYN,2023,20230630,82,0.45454545454545453,0
"Jul 1, 2023",vs San Francisco,REG,W,4-1,-150,U,8.5,NYN,2023,20230701,83,0.6,0
"Jul 2, 2023",vs San Francisco,REG,W,8-4,-138,O,9.0,NYN,2023,20230702,84,0.5798319327731092,0
"Jul 4, 2023",@ Arizona,REG,W,8-5,-150,O,9.0,NYN,2023,20230704,85,0.6,0
"Jul 5, 2023",@ Arizona,REG,W,2-1,-115,U,9.0,NYN,2023,20230705,86,0.5348837209302326,0
"Jul 6, 2023",@ Arizona,REG,W,9-0,125,U,10.0,NYN,2023,20230706,87,0.4444444444444444,0
"Jul 7, 2023",@ San Diego,REG,W,7-5,100,O,8.0,NYN,2023,20230707,88,0.5,0
"Jul 8, 2023",@ San Diego,REG,L,3-1,155,U,8.5,NYN,2023,20230708,89,0.39215686274509803,0
"Jul 9, 2023",@ San Diego,REG,L,6-2,110,P,8.0,NYN,2023,20230709,90,0.47619047619047616,0
"Jul 14, 2023",vs LA Dodgers,REG,L,6-0,110,U,8.5,NYN,2023,20230714,91,0.47619047619047616,0
"Jul 15, 2023",vs LA Dodgers,REG,L,5-1,-120,U,9.0,NYN,2023,20230715,92,0.5454545454545454,0
