Date,Opponent,Game,Result,Score,Line,OU,Total,team_source,season,date_numeric,game_no,prob_implied,dblheader_num
"Mar 30, 2023",vs LA Angels,REG,W,2-1,175,U,7.0,OAK,2023,20230330,1,0.36363636363636365,0
"Apr 1, 2023",vs LA Angels,REG,L,13-1,141,O,7.5,OAK,2023,20230401,2,0.4149377593360996,0
"Apr 2, 2023",vs LA Angels,REG,L,6-0,135,U,7.5,OAK,2023,20230402,3,0.425531914893617,0
"Apr 3, 2023",vs Cleveland,REG,L,12-11,135,O,7.5,OAK,2023,20230403,4,0.425531914893617,0
"Apr 4, 2023",vs Cleveland,REG,W,4-3,165,P,7.0,OAK,2023,20230404,5,0.37735849056603776,0
"Apr 5, 2023",vs Cleveland,REG,L,6-4,115,O,8.0,OAK,2023,20230405,6,0.46511627906976744,0
"Apr 7, 2023",@ Tampa Bay,REG,L,9-5,225,O,7.5,OAK,2023,20230407,7,0.3076923076923077,0
"Apr 8, 2023",@ Tampa Bay,REG,L,11-0,250,O,7.5,OAK,2023,20230408,8,0.2857142857142857,0
"Apr 9, 2023",@ Tampa Bay,REG,L,11-0,250,O,8.0,OAK,2023,20230409,9,0.2857142857142857,0
"Apr 10, 2023",@ Baltimore,REG,L,5-1,160,U,8.0,OAK,2023,20230410,10,0.38461538461538464,0
"Apr 11, 2023",@ Baltimore,REG,L,12-8,170,O,8.5,OAK,2023,20230411,11,0.37037037037037035,0
"Apr 12, 2023",@ Baltimore,REG,W,8-4,168,O,9.0,OAK,2023,20230412,12,0.373134328358209,0
"Apr 13, 2023",@ Baltimore,REG,L,8-7,195,O,10.0,OAK,2023,20230413,13,0.3389830508474576,0
"Apr 14, 2023",vs NY Mets,REG,L,17-6,200,O,8.0,OAK,2023,20230414,14,0.3333333333333333,0
"Apr 15, 2023",vs NY Mets,REG,L,3-2,160,U,9.5,OAK,2023,20230415,15,0.38461538461538464,0
"Apr 16, 2023",vs NY Mets,REG,L,4-3,140,U,8.5,OAK,2023,20230416,16,0.4166666666666667,0
"Apr 17, 2023",vs Chi Cubs,REG,L,10-1,115,O,8.0,OAK,2023,20230417,17,0.46511627906976744,0
"Apr 18, 2023",vs Chi Cubs,REG,L,4-0,165,U,7.5,OAK,2023,20230418,18,0.37735849056603776,0
"Apr 19, 2023",vs Chi Cubs,REG,L,12-2,145,O,7.0,OAK,2023,20230419,19,0.40816326530612246,0
"Apr 21, 2023",@ Texas,REG,W,5-4,200,O,8.5,OAK,2023,20230421,20,0.3333333333333333,0
"Apr 22, 2023",@ Texas,REG,L,18-3,210,O,8.5,OAK,2023,20230422,21,0.3225806451612903,0
"Apr 23, 2023",@ Texas,REG,L,5-2,300,P,7.0,OAK,2023,20230423,22,0.25,0
"Apr 24, 2023",@ LA Angels,REG,W,11-10,185,O,10.5,OAK,2023,20230424,23,0.3508771929824561,0
"Apr 25, 2023",@ LA Angels,REG,L,5-3,150,U,9.5,OAK,2023,20230425,24,0.4,0
"Apr 26, 2023",@ LA Angels,REG,L,11-3,200,O,9.5,OAK,2023,20230426,25,0.3333333333333333,0
"Apr 27, 2023",@ LA Angels,REG,L,8-7,250,O,8.5,OAK,2023,20230427,26,0.2857142857142857,0
"Apr 28, 2023",vs Cincinnati,REG,L,11-7,-105,O,9.0,OAK,2023,20230428,27,0.5121951219512195,0
"Apr 29, 2023",vs Cincinnati,REG,L,3-2,130,U,8.0,OAK,2023,20230429,28,0.43478260869565216,0
"Apr 30, 2023",vs Cincinnati,REG,W,5-4,126,O,8.0,OAK,2023,20230430,29,0.4424778761061947,0
"May 2, 2023",vs Seattle,REG,L,2-1,115,U,8.0,OAK,2023,20230502,30,0.46511627906976744,0
"May 3, 2023",vs Seattle,REG,L,7-2,165,O,7.5,OAK,2023,20230503,31,0.37735849056603776,0
"May 4, 2023",vs Seattle,REG,L,5-3,200,U,8.5,OAK,2023,20230504,32,0.3333333333333333,0
"May 5, 2023",@ Kansas City,REG,W,12-8,126,O,10.0,OAK,2023,20230505,33,0.4424778761061947,0
"May 6, 2023",@ Kansas City,REG,W,5-4,154,U,10.5,OAK,2023,20230506,34,0.3937007874015748,0
"May 7, 2023",@ Kansas City,REG,L,5-1,-115,U,10.0,OAK,2023,20230507,35,0.5348837209302326,0
"May 8, 2023",@ NY Yankees,REG,L,7-2,165,O,8.5,OAK,2023,20230508,36,0.37735849056603776,0
"May 9, 2023",@ NY Yankees,REG,L,10-5,220,O,9.0,OAK,2023,20230509,37,0.3125,0
"May 10, 2023",@ NY Yankees,REG,L,11-3,205,O,9.5,OAK,2023,20230510,38,0.32786885245901637,0
"May 11, 2023",vs Texas,REG,L,4-0,220,U,8.5,OAK,2023,20230511,39,0.3125,0
"May 12, 2023",vs Texas,REG,W,9-7,141,O,8.5,OAK,2023,20230512,40,0.4149377593360996,0
"May 13, 2023",vs Texas,REG,L,5-0,157,U,9.0,OAK,2023,20230513,41,0.38910505836575876,0
"May 14, 2023",vs Texas,REG,L,11-3,134,O,9.0,OAK,2023,20230514,42,0.42735042735042733,0
