Date,Opponent,Game,Result,Score,Line,OU,Total,team_source,season,date_numeric,game_no,prob_implied,dblheader_num
"Mar 30, 2023",@ Texas,REG,L,11-7,125,O,6.5,PHI,2023,20230330,1,0.4444444444444444,0
"Apr 1, 2023",@ Texas,REG,L,16-3,-125,O,7.5,PHI,2023,20230401,2,0.5555555555555556,0
"Apr 2, 2023",@ Texas,REG,L,2-1,105,U,8.5,PHI,2023,20230402,3,0.4878048780487805,0
"Apr 3, 2023",@ NY Yankees,REG,L,8-1,144,O,7.5,PHI,2023,20230403,4,0.4098360655737705,0
"Apr 4, 2023",@ NY Yankees,REG,W,4-1,140,U,8.5,PHI,2023,20230404,5,0.4166666666666667,0
"Apr 5, 2023",@ NY Yankees,REG,L,4-2,141,U,6.5,PHI,2023,20230405,6,0.4149377593360996,0
"Apr 7, 2023",vs Cincinnati,REG,W,5-2,-185,U,7.5,PHI,2023,20230407,7,0.6491228070175439,0
"Apr 8, 2023",vs Cincinnati,REG,W,3-2,-145,U,8.0,PHI,2023,20230408,8,0.5918367346938775,0
"Apr 9, 2023",vs Cincinnati,REG,L,6-4,-205,O,8.5,PHI,2023,20230409,9,0.6721311475409837,0
"Apr 10, 2023",vs Miami,REG,W,15-3,120,O,8.0,PHI,2023,20230410,10,0.45454545454545453,0
"Apr 11, 2023",vs Miami,REG,L,8-4,-145,O,8.0,PHI,2023,20230411,11,0.5918367346938775,0
"Apr 12, 2023",vs Miami,REG,L,3-2,-200,U,8.5,PHI,2023,20230412,12,0.6666666666666667,0
"Apr 13, 2023",@ Cincinnati,REG,L,6-2,-105,U,9.0,PHI,2023,20230413,13,0.5121951219512195,0
"Apr 14, 2023",@ Cincinnati,REG,W,8-3,-150,O,10.0,PHI,2023,20230414,14,0.6,0
"Apr 15, 2023",@ Cincinnati,REG,L,13-0,-110,O,9.5,PHI,2023,20230415,15,0.5238095238095238,0
"Apr 16, 2023",@ Cincinnati,REG,W,14-3,-200,O,9.5,PHI,2023,20230416,16,0.6666666666666667,0
"Apr 18, 2023",@ Chi White Sox,REG,W,7-4,-130,O,8.0,PHI,2023,20230418,17,0.5652173913043479,1
"Apr 18, 2023",@ Chi White Sox,REG,L,3-0,126,U,8.5,PHI,2023,20230418,18,0.4424778761061947,2
"Apr 19, 2023",@ Chi White Sox,REG,W,5-2,-120,U,8.5,PHI,2023,20230419,19,0.5454545454545454,0
"Apr 20, 2023",vs Colorado,REG,L,5-0,-230,U,9.0,PHI,2023,20230420,20,0.696969696969697,0
"Apr 21, 2023",vs Colorado,REG,W,4-3,-300,U,8.5,PHI,2023,20230421,21,0.75,0
"Apr 22, 2023",vs Colorado,REG,W,4-3,-167,U,10.5,PHI,2023,20230422,22,0.6254681647940075,0
"Apr 23, 2023",vs Colorado,REG,W,9-3,-300,O,8.5,PHI,2023,20230423,23,0.75,0
"Apr 25, 2023",vs Seattle,REG,L,5-3,-123,U,9.0,PHI,2023,20230425,24,0.5515695067264574,0
"Apr 26, 2023",vs Seattle,REG,W,6-5,105,O,8.5,PHI,2023,20230426,25,0.4878048780487805,0
"Apr 27, 2023",vs Seattle,REG,W,1-0,-108,U,8.0,PHI,2023,20230427,26,0.5192307692307692,0
"Apr 28, 2023",@ Houston,REG,W,3-1,126,U,7.5,PHI,2023,20230428,27,0.4424778761061947,0
"Apr 29, 2023",@ Houston,REG,W,6-1,120,U,7.5,PHI,2023,20230429,28,0.45454545454545453,0
"Apr 30, 2023",@ Houston,REG,L,4-3,145,U,9.0,PHI,2023,20230430,29,0.40816326530612246,0
"May 1, 2023",@ LA Dodgers,REG,L,13-4,159,O,8.5,PHI,2023,20230501,30,0.3861003861003861,0
"May 2, 2023",@ LA Dodgers,REG,L,13-1,125,O,8.0,PHI,2023,20230502,31,0.4444444444444444,0
"May 3, 2023",@ LA Dodgers,REG,L,10-6,110,O,9.0,PHI,2023,20230503,32,0.47619047619047616,0
"May 5, 2023",vs Boston,REG,L,5-3,-165,P,8.0,PHI,2023,20230505,33,0.6226415094339622,0
"May 6, 2023",vs Boston,REG,L,7-4,-165,O,9.0,PHI,2023,20230506,34,0.6226415094339622,0
"May 7, 2023",vs Boston,REG,W,6-1,-125,U,10.0,PHI,2023,20230507,35,0.5555555555555556,0
"May 9, 2023",vs Toronto,REG,W,8-4,-133,O,9.0,PHI,2023,20230509,36,0.5708154506437768,0
"May 10, 2023",vs Toronto,REG,W,2-1,-112,U,8.5,PHI,2023,20230510,37,0.5283018867924528,0
"May 12, 2023",@ Colorado,REG,W,6-3,-130,U,11.0,PHI,2023,20230512,38,0.5652173913043479,0
"May 13, 2023",@ Colorado,REG,W,7-4,-140,U,11.5,PHI,2023,20230513,39,0.5833333333333333,0
"May 14, 2023",@ Colorado,REG,L,4-0,-165,U,10.5,PHI,2023,20230514,40,0.6226415094339622,0
"May 15, 2023",@ San Francisco,REG,L,6-3,-105,P,9.0,PHI,2023,20230515,41,0.5121951219512195,0
"May 16, 2023",@ San Francisco,REG,L,4-3,-105,U,7.5,PHI,2023,20230516,42,0.5121951219512195,0
"May 17, 2023",@ San Francisco,REG,L,7-4,-114,O,9.0,PHI,2023,20230517,43,0.5327102803738317,0
"May 19, 2023",vs Chi Cubs,REG,L,10-1,-127,O,9.0,PHI,2023,20230519,44,0.5594713656387665,0
"May 20, 2023",vs Chi Cubs,REG,W,12-3,-160,O,9.0,PHI,2023,20230520,45,0.6153846153846154,0
"May 21, 2023",vs Chi Cubs,REG,W,2-1,-117,U,8.5,PHI,2023,20230521,46,0.5391705069124424,0
"May 22, 2023",vs Arizona,REG,L,6-3,-220,P,9.0,PHI,2023,20230522,47,0.6875,0
"May 23, 2023",vs Arizona,REG,L,4-3,-155,U,9.5,PHI,2023,20230523,48,0.607843137254902,0
"May 24, 2023",vs Arizona,REG,W,6-5,-105,O,8.5,PHI,2023,20230524,49,0.5121951219512195,0
"May 25, 2023",@ Atlanta,REG,L,8-5,-110,O,9.5,PHI,2023,20230525,50,0.5238095238095238,0
"May 26, 2023",@ Atlanta,REG,W,6-4,130,P,10.0,PHI,2023,20230526,51,0.43478260869565216,0
"May 27, 2023",@ Atlanta,REG,W,2-1,110,U,8.5,PHI,2023,20230527,52,0.47619047619047616,0
"May 28, 2023",@ Atlanta,REG,L,11-4,210,O,9.0,PHI,2023,20230528,53,0.3225806451612903,0
"May 30, 2023",@ NY Mets,REG,L,2-0,130,U,8.5,PHI,2023,20230530,54,0.43478260869565216,0
"May 31, 2023",@ NY Mets,REG,L,4-1,-120,U,9.0,PHI,2023,20230531,55,0.5454545454545454,0
"Jun 1, 2023",@ NY Mets,REG,L,4-2,160,U,8.5,PHI,2023,20230601,56,0.38461538461538464,0
"Jun 2, 2023",@ Washington,REG,L,8-7,-180,O,9.0,PHI,2023,20230602,57,0.6428571428571428,0
"Jun 3, 2023",@ Washington,REG,W,4-2,-110,U,8.5,PHI,2023,20230603,58,0.5238095238095238,0
"Jun 4, 2023",@ Washington,REG,W,11-3,-153,O,9.0,PHI,2023,20230604,59,0.6047430830039526,0
"Jun 5, 2023",vs Detroit,REG,W,8-3,-270,O,8.5,PHI,2023,20230605,60,0.7297297297297297,0
"Jun 6, 2023",vs Detroit,REG,W,1-0,-185,U,9.0,PHI,2023,20230606,61,0.6491228070175439,0
"Jun 8, 2023",vs Detroit,REG,W,3-2,-250,U,7.5,PHI,2023,20230608,62,0.7142857142857143,0
"Jun 9, 2023",vs LA Dodgers,REG,W,5-4,-101,U,9.5,PHI,2023,20230609,63,0.5024875621890548,0
"Jun 10, 2023",vs LA Dodgers,REG,L,9-0,100,O,8.5,PHI,2023,20230610,64,0.5,0
"Jun 11, 2023",vs LA Dodgers,REG,W,7-3,117,U,10.5,PHI,2023,20230611,65,0.4608294930875576,0
"Jun 12, 2023",@ Arizona,REG,L,9-8,-120,O,10.0,PHI,2023,20230612,66,0.5454545454545454,0
"Jun 13, 2023",@ Arizona,REG,W,15-3,-131,O,9.0,PHI,2023,20230613,67,0.5670995670995671,0
"Jun 14, 2023",@ Arizona,REG,W,4-3,105,U,8.0,PHI,2023,20230614,68,0.4878048780487805,0
"Jun 15, 2023",@ Arizona,REG,W,5-4,-130,P,9.0,PHI,2023,20230615,69,0.5652173913043479,0
"Jun 16, 2023",@ Oakland,REG,W,6-1,-140,U,8.5,PHI,2023,20230616,70,0.5833333333333333,0
"Jun 17, 2023",@ Oakland,REG,W,3-2,-175,U,9.5,PHI,2023,20230617,71,0.6363636363636364,0
"Jun 18, 2023",@ Oakland,REG,W,3-2,-220,U,7.5,PHI,2023,20230618,72,0.6875,0
"Jun 20, 2023",vs Atlanta,REG,L,4-2,135,U,8.5,PHI,2023,20230620,73,0.425531914893617,0
"Jun 22, 2023",vs Atlanta,REG,L,5-1,-125,U,8.0,PHI,2023,20230622,74,0.5555555555555556,0
"Jun 23, 2023",vs NY Mets,REG,W,5-1,-115,U,9.5,PHI,2023,20230623,75,0.5348837209302326,0
"Jun 24, 2023",vs NY Mets,REG,L,4-2,112,U,9.5,PHI,2023,20230624,76,0.4716981132075472,0
"Jun 25, 2023",vs NY Mets,REG,W,7-6,-185,O,9.5,PHI,2023,20230625,77,0.6491228070175439,0
"Jun 27, 2023",@ Chi Cubs,REG,W,5-1,-128,U,8.0,PHI,2023,20230627,78,0.5614035087719298,0
"Jun 28, 2023",@ Chi Cubs,REG,W,8-5,-140,O,8.5,PHI,2023,20230628,79,0.5833333333333333,0
"Jun 29, 2023",@ Chi Cubs,REG,W,3-1,-115,U,9.5,PHI,2023,20230629,80,0.5348837209302326,0
"Jun 30, 2023",vs Washington,REG,L,2-1,-195,U,9.5,PHI,2023,20230630,81,0.6610169491525424,0
"Jul 1, 2023",vs Washington,REG,W,19-4,-220,O,8.5,PHI,2023,20230701,82,0.6875,0
"Jul 2, 2023",vs Washington,REG,L,5-4,-260,P,9.0,PHI,2023,20230702,83,0.7222222222222222,0
"Jul 4, 2023",@ Tampa Bay,REG,W,3-1,128,U,8.0,PHI,2023,20230704,84,0.43859649122807015,0
"Jul 5, 2023",@ Tampa Bay,REG,W,8-4,105,O,9.0,PHI,2023,20230705,85,0.4878048780487805,0
"Jul 6, 2023",@ Tampa Bay,REG,W,3-1,115,U,9.5,PHI,2023,20230706,86,0.46511627906976744,0
"Jul 7, 2023",@ Miami,REG,W,4-3,-135,P,7.0,PHI,2023,20230707,87,0.574468085106383,0
"Jul 8, 2023",@ Miami,REG,L,5-3,-105,O,7.0,PHI,2023,20230708,88,0.5121951219512195,0
"Jul 9, 2023",@ Miami,REG,L,7-3,105,O,7.0,PHI,2023,20230709,89,0.4878048780487805,0
"Jul 14, 2023",vs San Diego,REG,L,8-3,100,O,9.5,PHI,2023,20230714,90,0.5,0
"Jul 15, 2023",vs San Diego,REG,W,6-4,141,O,9.0,PHI,2023,20230715,91,0.4149377593360996,1
"Jul 15, 2023",vs San Diego,REG,W,9-4,-118,O,10.5,PHI,2023,20230715,92,0.5412844036697247,2
"Jul 16, 2023",vs San Diego,REG,W,7-6,-150,O,8.5,PHI,2023,20230716,93,0.6,0
"Jul 18, 2023",vs Milwaukee,REG,W,4-3,-195,U,9.5,PHI,2023,20230718,94,0.6610169491525424,0
"Jul 19, 2023",vs Milwaukee,REG,L,5-3,-145,U,9.0,PHI,2023,20230719,95,0.5918367346938775,0
"Jul 20, 2023",vs Milwaukee,REG,L,4-0,-103,U,8.5,PHI,2023,20230720,96,0.5073891625615763,0
"Jul 21, 2023",@ Cleveland,REG,L,6-5,-118,O,8.5,PHI,2023,20230721,97,0.5412844036697247,0
"Jul 22, 2023",@ Cleveland,REG,L,1-0,-125,U,8.0,PHI,2023,20230722,98,0.5555555555555556,0
"Jul 23, 2023",@ Cleveland,REG,W,8-5,-130,O,8.5,PHI,2023,20230723,99,0.5652173913043479,0
"Jul 24, 2023",vs Baltimore,REG,L,3-2,-114,U,9.5,PHI,2023,20230724,100,0.5327102803738317,0
"Jul 25, 2023",vs Baltimore,REG,W,4-3,-125,U,9.5,PHI,2023,20230725,101,0.5555555555555556,0
"Jul 26, 2023",vs Baltimore,REG,W,6-4,-105,O,9.5,PHI,2023,20230726,102,0.5121951219512195,0
"Jul 28, 2023",@ Pittsburgh,REG,W,2-1,-160,U,8.5,PHI,2023,20230728,103,0.6153846153846154,0
"Jul 29, 2023",@ Pittsburgh,REG,L,7-6,-176,O,9.0,PHI,2023,20230729,104,0.6376811594202898,0
"Jul 30, 2023",@ Pittsburgh,REG,L,6-4,-150,O,9.0,PHI,2023,20230730,105,0.6,0
"Jul 31, 2023",@ Miami,REG,W,4-2,100,U,8.5,PHI,2023,20230731,106,0.5,0
"Aug 1, 2023",@ Miami,REG,W,3-1,120,U,7.5,PHI,2023,20230801,107,0.45454545454545453,0
"Aug 2, 2023",@ Miami,REG,L,9-8,-112,O,7.5,PHI,2023,20230802,108,0.5283018867924528,0
"Aug 3, 2023",@ Miami,REG,W,4-2,-118,U,8.5,PHI,2023,20230803,109,0.5412844036697247,0
"Aug 4, 2023",vs Kansas City,REG,L,7-5,-265,O,9.5,PHI,2023,20230804,110,0.726027397260274,0
"Aug 5, 2023",vs Kansas City,REG,W,9-6,-225,O,9.5,PHI,2023,20230805,111,0.6923076923076923,0
"Aug 6, 2023",vs Kansas City,REG,W,8-4,-210,O,9.5,PHI,2023,20230806,112,0.6774193548387097,0
"Aug 8, 2023",vs Washington,REG,W,8-4,-280,O,9.0,PHI,2023,20230808,113,0.736842105263158,1
"Aug 8, 2023",vs Washington,REG,L,5-4,-181,P,9.0,PHI,2023,20230808,114,0.6441281138790036,2
"Aug 9, 2023",vs Washington,REG,W,7-0,-180,U,9.0,PHI,2023,20230809,115,0.6428571428571428,0
"Aug 10, 2023",vs Washington,REG,W,6-2,-250,U,9.0,PHI,2023,20230810,116,0.7142857142857143,0
"Aug 11, 2023",vs Minnesota,REG,W,13-2,-145,O,9.0,PHI,2023,20230811,117,0.5918367346938775,0
"Aug 12, 2023",vs Minnesota,REG,L,8-1,110,P,9.0,PHI,2023,20230812,118,0.47619047619047616,0
"Aug 13, 2023",vs Minnesota,REG,L,3-0,-115,U,8.5,PHI,2023,20230813,119,0.5348837209302326,0
"Aug 15, 2023",@ Toronto,REG,L,2-1,-110,U,7.5,PHI,2023,20230815,120,0.5238095238095238,0
"Aug 16, 2023",@ Toronto,REG,W,9-4,122,O,7.5,PHI,2023,20230816,121,0.45045045045045046,0
"Aug 18, 2023",@ Washington,REG,L,8-7,-161,O,9.0,PHI,2023,20230818,122,0.6168582375478927,0
"Aug 19, 2023",@ Washington,REG,W,12-3,-150,O,9.5,PHI,2023,20230819,123,0.6,0
"Aug 20, 2023",@ Washington,REG,L,4-3,-230,U,9.0,PHI,2023,20230820,124,0.696969696969697,0
"Aug 21, 2023",vs San Francisco,REG,W,10-4,-140,O,8.5,PHI,2023,20230821,125,0.5833333333333333,0
"Aug 22, 2023",vs San Francisco,REG,W,4-3,-124,U,9.0,PHI,2023,20230822,126,0.5535714285714286,0
"Aug 23, 2023",vs San Francisco,REG,L,8-6,-129,O,9.0,PHI,2023,20230823,127,0.5633187772925764,0
"Aug 25, 2023",vs St. Louis,REG,W,7-2,-127,U,9.5,PHI,2023,20230825,128,0.5594713656387665,0
"Aug 26, 2023",vs St. Louis,REG,W,12-1,-230,O,8.5,PHI,2023,20230826,129,0.696969696969697,0
"Aug 27, 2023",vs St. Louis,REG,W,3-0,-200,U,9.0,PHI,2023,20230827,130,0.6666666666666667,0
"Aug 28, 2023",vs LA Angels,REG,W,6-4,-140,O,9.5,PHI,2023,20230828,131,0.5833333333333333,0
"Aug 29, 2023",vs LA Angels,REG,W,12-7,-175,O,9.5,PHI,2023,20230829,132,0.6363636363636364,0
"Aug 30, 2023",vs LA Angels,REG,L,10-8,-170,O,9.0,PHI,2023,20230830,133,0.6296296296296297,0
"Sep 1, 2023",@ Milwaukee,REG,L,7-5,-115,O,7.5,PHI,2023,20230901,134,0.5348837209302326,0
"Sep 2, 2023",@ Milwaukee,REG,L,7-5,-140,O,9.0,PHI,2023,20230902,135,0.5833333333333333,0
"Sep 3, 2023",@ Milwaukee,REG,W,4-2,-112,U,9.5,PHI,2023,20230903,136,0.5283018867924528,0
"Sep 4, 2023",@ San Diego,REG,W,9-7,106,O,9.5,PHI,2023,20230904,137,0.4854368932038835,0
"Sep 5, 2023",@ San Diego,REG,L,8-0,110,U,9.0,PHI,2023,20230905,138,0.47619047619047616,0
"Sep 6, 2023",@ San Diego,REG,W,5-1,-115,U,7.5,PHI,2023,20230906,139,0.5348837209302326,0
"Sep 8, 2023",vs Miami,REG,L,3-2,-131,U,9.0,PHI,2023,20230908,140,0.5670995670995671,0
"Sep 9, 2023",vs Miami,REG,W,8-4,-199,O,9.0,PHI,2023,20230909,141,0.6655518394648829,0
"Sep 10, 2023",vs Miami,REG,L,5-4,-165,U,9.5,PHI,2023,20230910,142,0.6226415094339622,0
"Sep 11, 2023",vs Atlanta,REG,L,10-8,145,O,10.0,PHI,2023,20230911,143,0.40816326530612246,1
"Sep 11, 2023",vs Atlanta,REG,W,7-5,104,O,10.0,PHI,2023,20230911,144,0.49019607843137253,2
"Sep 12, 2023",vs Atlanta,REG,L,7-6,100,O,8.5,PHI,2023,20230912,145,0.5,0
"Sep 13, 2023",vs Atlanta,REG,L,4-1,142,U,9.0,PHI,2023,20230913,146,0.4132231404958678,0
"Sep 15, 2023",@ St. Louis,REG,W,5-4,-145,O,8.5,PHI,2023,20230915,147,0.5918367346938775,0
"Sep 16, 2023",@ St. Louis,REG,W,6-1,-116,U,9.0,PHI,2023,20230916,148,0.537037037037037,0
"Sep 17, 2023",@ St. Louis,REG,L,6-5,-139,O,9.5,PHI,2023,20230917,149,0.5815899581589958,0
"Sep 18, 2023",@ Atlanta,REG,W,7-1,-109,U,9.5,PHI,2023,20230918,150,0.5215311004784688,0
"Sep 19, 2023",@ Atlanta,REG,L,9-3,180,O,8.5,PHI,2023,20230919,151,0.35714285714285715,0
"Sep 20, 2023",@ Atlanta,REG,W,6-5,122,O,9.5,PHI,2023,20230920,152,0.45045045045045046,0
"Sep 21, 2023",vs NY Mets,REG,W,5-4,-152,O,8.5,PHI,2023,20230921,153,0.6031746031746033,0
"Sep 22, 2023",vs NY Mets,REG,W,5-4,-165,P,9.0,PHI,2023,20230922,154,0.6226415094339622,0
"Sep 23, 2023",vs NY Mets,REG,W,7-5,-180,O,7.5,PHI,2023,20230923,155,0.6428571428571428,0
"Sep 24, 2023",vs NY Mets,REG,W,5-2,-170,U,9.0,PHI,2023,20230924,156,0.6296296296296297,0
"Sep 26, 2023",vs Pittsburgh,REG,W,3-2,-180,U,7.5,PHI,2023,20230926,157,0.6428571428571428,0
"Sep 27, 2023",vs Pittsburgh,REG,W,7-6,-130,O,8.0,PHI,2023,20230927,158,0.5652173913043479,0
"Sep 28, 2023",vs Pittsburgh,REG,L,3-2,-270,U,8.0,PHI,2023,20230928,159,0.7297297297297297,0
"Sep 30, 2023",@ NY Mets,REG,L,4-3,-108,U,8.0,PHI,2023,20230930,160,0.5192307692307692,1
"Sep 30, 2023",@ NY Mets,REG,L,11-4,119,O,8.0,PHI,2023,20230930,161,0.45662100456621,2
"Oct 1, 2023",@ NY Mets,REG,W,9-1,107,O,8.5,PHI,2023,20231001,162,0.4830917874396135,0
