Date,Opponent,Game,Result,Score,Line,OU,Total,team_source,season,date_numeric,game_no,prob_implied,dblheader_num
"Mar 30, 2023",@ Cincinnati,REG,W,5-4,125,O,8.0,PIT,2023,20230330,1,0.4444444444444444,0
"Apr 1, 2023",@ Cincinnati,REG,L,6-2,135,U,8.5,PIT,2023,20230401,2,0.425531914893617,0
"Apr 2, 2023",@ Cincinnati,REG,L,3-1,118,U,9.0,PIT,2023,20230402,3,0.45871559633027525,0
"Apr 3, 2023",@ Boston,REG,W,7-6,135,O,9.5,PIT,2023,20230403,4,0.425531914893617,0
"Apr 4, 2023",@ Boston,REG,W,4-1,133,U,9.0,PIT,2023,20230404,5,0.4291845493562232,0
"Apr 5, 2023",@ Boston,REG,W,4-1,130,U,8.5,PIT,2023,20230405,6,0.43478260869565216,0
"Apr 7, 2023",vs Chi White Sox,REG,W,13-9,115,O,8.5,PIT,2023,20230407,7,0.46511627906976744,0
"Apr 8, 2023",vs Chi White Sox,REG,L,11-5,105,O,8.5,PIT,2023,20230408,8,0.4878048780487805,0
"Apr 9, 2023",vs Chi White Sox,REG,W,1-0,-135,U,9.0,PIT,2023,20230409,9,0.574468085106383,0
"Apr 10, 2023",vs Houston,REG,L,8-2,148,O,8.0,PIT,2023,20230410,10,0.4032258064516129,0
"Apr 11, 2023",vs Houston,REG,W,7-4,145,O,8.0,PIT,2023,20230411,11,0.40816326530612246,0
"Apr 12, 2023",vs Houston,REG,L,7-0,142,U,9.5,PIT,2023,20230412,12,0.4132231404958678,0
"Apr 13, 2023",@ St. Louis,REG,W,5-0,215,U,8.5,PIT,2023,20230413,13,0.31746031746031744,0
"Apr 14, 2023",@ St. Louis,REG,L,3-0,136,U,9.0,PIT,2023,20230414,14,0.423728813559322,0
"Apr 15, 2023",@ St. Louis,REG,W,6-3,165,P,9.0,PIT,2023,20230415,15,0.37735849056603776,0
"Apr 16, 2023",@ St. Louis,REG,L,5-4,135,O,8.5,PIT,2023,20230416,16,0.425531914893617,0
"Apr 17, 2023",@ Colorado,REG,W,14-3,125,O,11.5,PIT,2023,20230417,17,0.4444444444444444,0
"Apr 18, 2023",@ Colorado,REG,W,5-3,-110,U,13.0,PIT,2023,20230418,18,0.5238095238095238,0
"Apr 19, 2023",@ Colorado,REG,W,14-3,-125,O,11.0,PIT,2023,20230419,19,0.5555555555555556,0
"Apr 20, 2023",vs Cincinnati,REG,W,4-3,-167,U,9.0,PIT,2023,20230420,20,0.6254681647940075,0
"Apr 21, 2023",vs Cincinnati,REG,W,4-2,-143,U,8.5,PIT,2023,20230421,21,0.588477366255144,0
"Apr 22, 2023",vs Cincinnati,REG,W,2-1,-160,U,9.0,PIT,2023,20230422,22,0.6153846153846154,0
"Apr 23, 2023",vs Cincinnati,REG,W,2-0,100,U,7.5,PIT,2023,20230423,23,0.5,0
"Apr 25, 2023",vs LA Dodgers,REG,L,8-7,-105,O,8.0,PIT,2023,20230425,24,0.5121951219512195,0
"Apr 26, 2023",vs LA Dodgers,REG,W,8-1,130,O,8.5,PIT,2023,20230426,25,0.43478260869565216,0
"Apr 27, 2023",vs LA Dodgers,REG,W,6-2,140,O,7.5,PIT,2023,20230427,26,0.4166666666666667,0
"Apr 29, 2023",@ Washington,REG,W,6-3,-140,U,9.5,PIT,2023,20230429,27,0.5833333333333333,1
"Apr 29, 2023",@ Washington,REG,W,16-1,-150,O,9.0,PIT,2023,20230429,28,0.6,2
"Apr 30, 2023",@ Washington,REG,L,7-2,-155,O,8.5,PIT,2023,20230430,29,0.607843137254902,0
"May 2, 2023",@ Tampa Bay,REG,L,4-1,143,U,8.5,PIT,2023,20230502,30,0.411522633744856,0
"May 3, 2023",@ Tampa Bay,REG,L,8-1,180,O,7.0,PIT,2023,20230503,31,0.35714285714285715,0
"May 4, 2023",@ Tampa Bay,REG,L,3-2,165,U,8.5,PIT,2023,20230504,32,0.37735849056603776,0
"May 5, 2023",vs Toronto,REG,L,4-0,140,U,9.0,PIT,2023,20230505,33,0.4166666666666667,0
"May 6, 2023",vs Toronto,REG,L,8-2,115,O,8.5,PIT,2023,20230506,34,0.46511627906976744,0
"May 7, 2023",vs Toronto,REG,L,10-1,120,O,9.0,PIT,2023,20230507,35,0.45454545454545453,0
"May 8, 2023",vs Colorado,REG,W,2-0,-172,U,8.5,PIT,2023,20230508,36,0.6323529411764706,0
"May 9, 2023",vs Colorado,REG,L,10-1,-175,O,8.5,PIT,2023,20230509,37,0.6363636363636364,0
"May 10, 2023",vs Colorado,REG,L,4-3,-141,U,8.5,PIT,2023,20230510,38,0.5850622406639003,0
"May 12, 2023",@ Baltimore,REG,L,6-3,135,P,9.0,PIT,2023,20230512,39,0.425531914893617,0
"May 13, 2023",@ Baltimore,REG,L,2-0,150,U,8.5,PIT,2023,20230513,40,0.4,0
"May 14, 2023",@ Baltimore,REG,W,4-0,-115,U,8.0,PIT,2023,20230514,41,0.5348837209302326,0
"May 16, 2023",@ Detroit,REG,L,4-0,113,U,9.0,PIT,2023,20230516,42,0.4694835680751174,0
"May 17, 2023",@ Detroit,REG,W,8-0,145,O,7.5,PIT,2023,20230517,43,0.40816326530612246,0
"May 19, 2023",vs Arizona,REG,W,13-3,155,O,7.5,PIT,2023,20230519,44,0.39215686274509803,0
"May 20, 2023",vs Arizona,REG,L,4-3,-155,U,8.5,PIT,2023,20230520,45,0.607843137254902,0
"May 21, 2023",vs Arizona,REG,L,8-3,108,O,8.5,PIT,2023,20230521,46,0.4807692307692308,0
"May 22, 2023",vs Texas,REG,W,6-4,125,O,9.0,PIT,2023,20230522,47,0.4444444444444444,0
"May 23, 2023",vs Texas,REG,L,6-1,134,U,8.0,PIT,2023,20230523,48,0.42735042735042733,0
"May 24, 2023",vs Texas,REG,L,3-2,103,U,9.0,PIT,2023,20230524,49,0.49261083743842365,0
"May 26, 2023",@ Seattle,REG,W,11-6,134,O,7.0,PIT,2023,20230526,50,0.42735042735042733,0
"May 27, 2023",@ Seattle,REG,L,5-0,190,U,7.5,PIT,2023,20230527,51,0.3448275862068966,0
"May 28, 2023",@ Seattle,REG,L,6-3,130,O,8.5,PIT,2023,20230528,52,0.43478260869565216,0
"May 29, 2023",@ San Francisco,REG,L,14-4,122,O,8.5,PIT,2023,20230529,53,0.45045045045045046,0
"May 30, 2023",@ San Francisco,REG,W,2-1,140,U,8.5,PIT,2023,20230530,54,0.4166666666666667,0
"May 31, 2023",@ San Francisco,REG,W,9-4,104,O,7.5,PIT,2023,20230531,55,0.49019607843137253,0
"Jun 2, 2023",vs St. Louis,REG,W,7-5,129,O,9.5,PIT,2023,20230602,56,0.4366812227074236,0
"Jun 3, 2023",vs St. Louis,REG,W,4-3,125,U,9.5,PIT,2023,20230603,57,0.4444444444444444,0
"Jun 4, 2023",vs St. Louis,REG,W,2-1,130,U,8.5,PIT,2023,20230604,58,0.43478260869565216,0
"Jun 5, 2023",vs Oakland,REG,W,5-4,-185,P,9.0,PIT,2023,20230605,59,0.6491228070175439,0
"Jun 6, 2023",vs Oakland,REG,L,11-2,-294,O,8.5,PIT,2023,20230606,60,0.7461928934010152,0
"Jun 7, 2023",vs Oakland,REG,L,9-5,-190,O,9.5,PIT,2023,20230607,61,0.6551724137931034,0
"Jun 9, 2023",vs NY Mets,REG,W,14-7,-110,O,9.5,PIT,2023,20230609,62,0.5238095238095238,0
"Jun 10, 2023",vs NY Mets,REG,L,5-1,100,U,9.5,PIT,2023,20230610,63,0.5,0
"Jun 11, 2023",vs NY Mets,REG,W,2-1,-135,U,8.5,PIT,2023,20230611,64,0.574468085106383,0
"Jun 13, 2023",@ Chi Cubs,REG,L,11-3,114,O,9.0,PIT,2023,20230613,65,0.4672897196261682,0
"Jun 14, 2023",@ Chi Cubs,REG,L,10-6,130,O,9.0,PIT,2023,20230614,66,0.43478260869565216,0
"Jun 15, 2023",@ Chi Cubs,REG,L,7-2,130,O,7.0,PIT,2023,20230615,67,0.43478260869565216,0
"Jun 16, 2023",@ Milwaukee,REG,L,5-4,-105,O,8.5,PIT,2023,20230616,68,0.5121951219512195,0
"Jun 17, 2023",@ Milwaukee,REG,L,5-0,-110,U,8.5,PIT,2023,20230617,69,0.5238095238095238,0
"Jun 18, 2023",@ Milwaukee,REG,L,5-2,145,U,8.5,PIT,2023,20230618,70,0.40816326530612246,0
"Jun 19, 2023",vs Chi Cubs,REG,L,8-0,105,U,9.0,PIT,2023,20230619,71,0.4878048780487805,0
"Jun 20, 2023",vs Chi Cubs,REG,L,4-0,122,U,8.0,PIT,2023,20230620,72,0.45045045045045046,0
"Jun 21, 2023",vs Chi Cubs,REG,L,8-3,100,O,9.0,PIT,2023,20230621,73,0.5,0
"Jun 22, 2023",@ Miami,REG,L,6-4,140,O,7.0,PIT,2023,20230622,74,0.4166666666666667,0
"Jun 23, 2023",@ Miami,REG,W,3-1,180,U,7.5,PIT,2023,20230623,75,0.35714285714285715,0
"Jun 24, 2023",@ Miami,REG,L,4-3,145,U,8.0,PIT,2023,20230624,76,0.40816326530612246,0
"Jun 25, 2023",@ Miami,REG,L,2-0,148,U,7.0,PIT,2023,20230625,77,0.4032258064516129,0
"Jun 27, 2023",vs San Diego,REG,W,9-4,130,O,9.5,PIT,2023,20230627,78,0.43478260869565216,0
"Jun 28, 2023",vs San Diego,REG,W,7-1,140,P,8.0,PIT,2023,20230628,79,0.4166666666666667,0
"Jun 29, 2023",vs San Diego,REG,W,5-4,170,O,8.5,PIT,2023,20230629,80,0.37037037037037035,0
"Jun 30, 2023",vs Milwaukee,REG,W,8-7,115,O,8.5,PIT,2023,20230630,81,0.46511627906976744,0
"Jul 1, 2023",vs Milwaukee,REG,L,11-8,125,O,8.0,PIT,2023,20230701,82,0.4444444444444444,0
"Jul 2, 2023",vs Milwaukee,REG,L,6-3,-116,O,8.5,PIT,2023,20230702,83,0.537037037037037,0
"Jul 3, 2023",@ LA Dodgers,REG,L,5-2,150,U,8.5,PIT,2023,20230703,84,0.4,0
"Jul 4, 2023",@ LA Dodgers,REG,W,9-7,225,O,9.5,PIT,2023,20230704,85,0.3076923076923077,0
"Jul 5, 2023",@ LA Dodgers,REG,L,6-4,220,O,9.0,PIT,2023,20230705,86,0.3125,0
"Jul 6, 2023",@ LA Dodgers,REG,L,5-2,170,U,8.0,PIT,2023,20230706,87,0.37037037037037035,0
"Jul 7, 2023",@ Arizona,REG,L,7-3,180,O,8.5,PIT,2023,20230707,88,0.35714285714285715,0
"Jul 8, 2023",@ Arizona,REG,L,3-2,115,U,8.0,PIT,2023,20230708,89,0.46511627906976744,0
"Jul 9, 2023",@ Arizona,REG,W,4-2,136,U,9.0,PIT,2023,20230709,90,0.423728813559322,0
"Jul 14, 2023",vs San Francisco,REG,L,6-4,110,O,9.0,PIT,2023,20230714,91,0.47619047619047616,0
"Jul 15, 2023",vs San Francisco,REG,L,3-1,138,U,8.5,PIT,2023,20230715,92,0.42016806722689076,0
"Jul 16, 2023",vs San Francisco,REG,L,8-4,125,O,10.0,PIT,2023,20230716,93,0.4444444444444444,0
"Jul 17, 2023",vs Cleveland,REG,L,11-0,110,O,9.0,PIT,2023,20230717,94,0.47619047619047616,0
"Jul 18, 2023",vs Cleveland,REG,L,10-1,-110,O,8.5,PIT,2023,20230718,95,0.5238095238095238,0
"Jul 19, 2023",vs Cleveland,REG,W,7-5,126,O,8.5,PIT,2023,20230719,96,0.4424778761061947,0
"Jul 21, 2023",@ LA Angels,REG,L,8-5,165,O,8.5,PIT,2023,20230721,97,0.37735849056603776,0
"Jul 22, 2023",@ LA Angels,REG,W,3-0,155,U,9.5,PIT,2023,20230722,98,0.39215686274509803,0
"Jul 23, 2023",@ LA Angels,REG,L,7-5,105,O,9.5,PIT,2023,20230723,99,0.4878048780487805,0
"Jul 24, 2023",@ San Diego,REG,W,8-4,225,O,8.5,PIT,2023,20230724,100,0.3076923076923077,0
"Jul 25, 2023",@ San Diego,REG,L,5-1,230,U,8.0,PIT,2023,20230725,101,0.30303030303030304,0
"Jul 26, 2023",@ San Diego,REG,W,3-2,160,U,8.5,PIT,2023,20230726,102,0.38461538461538464,0
"Jul 28, 2023",vs Philadelphia,REG,L,2-1,145,U,8.5,PIT,2023,20230728,103,0.40816326530612246,0
"Jul 29, 2023",vs Philadelphia,REG,W,7-6,161,O,9.0,PIT,2023,20230729,104,0.3831417624521073,0
"Jul 30, 2023",vs Philadelphia,REG,W,6-4,135,O,9.0,PIT,2023,20230730,105,0.425531914893617,0
"Aug 1, 2023",vs Detroit,REG,W,4-1,-116,U,9.0,PIT,2023,20230801,106,0.537037037037037,0
"Aug 2, 2023",vs Detroit,REG,L,6-3,111,O,8.5,PIT,2023,20230802,107,0.47393364928909953,0
"Aug 3, 2023",@ Milwaukee,REG,L,14-1,114,O,8.5,PIT,2023,20230803,108,0.4672897196261682,0
