Date,Opponent,Game,Result,Score,Line,OU,Total,team_source,season,date_numeric,game_no,prob_implied,dblheader_num
"Mar 30, 2023",vs Colorado,REG,L,7-2,-220,O,7.0,SDN,2023,20230330,1,0.6875,0
"Mar 31, 2023",vs Colorado,REG,L,4-1,-200,U,8.0,SDN,2023,20230331,2,0.6666666666666667,0
"Apr 1, 2023",vs Colorado,REG,W,8-4,-240,O,8.0,SDN,2023,20230401,3,0.7058823529411764,0
"Apr 2, 2023",vs Colorado,REG,W,3-1,-205,U,8.0,SDN,2023,20230402,4,0.6721311475409837,0
"Apr 3, 2023",vs Arizona,REG,W,5-4,-135,O,8.0,SDN,2023,20230403,5,0.574468085106383,0
"Apr 4, 2023",vs Arizona,REG,L,8-6,-150,O,7.0,SDN,2023,20230404,6,0.6,0
"Apr 6, 2023",@ Atlanta,REG,L,7-6,134,O,8.5,SDN,2023,20230406,7,0.42735042735042733,0
"Apr 7, 2023",@ Atlanta,REG,W,5-4,-110,U,9.5,SDN,2023,20230407,8,0.5238095238095238,0
"Apr 8, 2023",@ Atlanta,REG,W,4-1,137,U,9.0,SDN,2023,20230408,9,0.4219409282700422,0
"Apr 9, 2023",@ Atlanta,REG,W,10-2,110,O,9.0,SDN,2023,20230409,10,0.47619047619047616,0
"Apr 10, 2023",@ NY Mets,REG,L,5-0,120,U,7.5,SDN,2023,20230410,11,0.45454545454545453,0
"Apr 11, 2023",@ NY Mets,REG,W,4-2,120,U,9.0,SDN,2023,20230411,12,0.45454545454545453,0
"Apr 12, 2023",@ NY Mets,REG,L,5-2,106,U,9.0,SDN,2023,20230412,13,0.4854368932038835,0
"Apr 13, 2023",vs Milwaukee,REG,L,4-3,-150,U,9.0,SDN,2023,20230413,14,0.6,0
"Apr 14, 2023",vs Milwaukee,REG,L,11-2,-175,O,9.0,SDN,2023,20230414,15,0.6363636363636364,0
"Apr 15, 2023",vs Milwaukee,REG,W,10-3,-140,O,7.5,SDN,2023,20230415,16,0.5833333333333333,0
"Apr 16, 2023",vs Milwaukee,REG,L,1-0,-170,U,8.0,SDN,2023,20230416,17,0.6296296296296297,0
"Apr 17, 2023",vs Atlanta,REG,L,2-0,125,U,8.5,SDN,2023,20230417,18,0.4444444444444444,0
"Apr 18, 2023",vs Atlanta,REG,L,8-1,122,O,7.5,SDN,2023,20230418,19,0.45045045045045046,0
"Apr 19, 2023",vs Atlanta,REG,W,1-0,100,U,9.0,SDN,2023,20230419,20,0.5,0
"Apr 20, 2023",@ Arizona,REG,W,7-5,-141,O,10.0,SDN,2023,20230420,21,0.5850622406639003,0
"Apr 21, 2023",@ Arizona,REG,L,9-0,-110,P,9.0,SDN,2023,20230421,22,0.5238095238095238,0
"Apr 22, 2023",@ Arizona,REG,W,5-3,-143,U,9.5,SDN,2023,20230422,23,0.588477366255144,0
"Apr 23, 2023",@ Arizona,REG,W,7-5,-153,O,9.0,SDN,2023,20230423,24,0.6047430830039526,0
"Apr 25, 2023",@ Chi Cubs,REG,L,6-0,100,U,7.0,SDN,2023,20230425,25,0.5,0
"Apr 26, 2023",@ Chi Cubs,REG,W,5-3,102,P,8.0,SDN,2023,20230426,26,0.49504950495049505,0
"Apr 27, 2023",@ Chi Cubs,REG,L,5-2,-150,U,8.5,SDN,2023,20230427,27,0.6,0
"Apr 29, 2023",vs San Francisco,REG,W,16-11,-200,O,15.5,SDN,2023,20230429,28,0.6666666666666667,0
"Apr 30, 2023",vs San Francisco,REG,W,6-4,-150,U,19.5,SDN,2023,20230430,29,0.6,0
"May 1, 2023",vs Cincinnati,REG,W,8-3,-220,O,8.5,SDN,2023,20230501,30,0.6875,0
"May 2, 2023",vs Cincinnati,REG,L,2-1,-181,U,8.5,SDN,2023,20230502,31,0.6441281138790036,0
"May 3, 2023",vs Cincinnati,REG,W,7-1,-260,U,8.5,SDN,2023,20230503,32,0.7222222222222222,0
"May 5, 2023",vs LA Dodgers,REG,W,5-2,100,U,7.5,SDN,2023,20230505,33,0.5,0
"May 6, 2023",vs LA Dodgers,REG,L,2-1,-125,U,8.5,SDN,2023,20230506,34,0.5555555555555556,0
"May 7, 2023",vs LA Dodgers,REG,L,5-2,102,U,8.0,SDN,2023,20230507,35,0.49504950495049505,0
"May 9, 2023",@ Minnesota,REG,W,6-1,-105,U,9.0,SDN,2023,20230509,36,0.5121951219512195,0
"May 10, 2023",@ Minnesota,REG,L,4-3,116,U,8.5,SDN,2023,20230510,37,0.46296296296296297,0
"May 11, 2023",@ Minnesota,REG,L,5-3,-132,P,8.0,SDN,2023,20230511,38,0.5689655172413793,0
"May 12, 2023",@ LA Dodgers,REG,L,4-2,108,U,9.0,SDN,2023,20230512,39,0.4807692307692308,0
"May 13, 2023",@ LA Dodgers,REG,L,4-2,130,U,8.5,SDN,2023,20230513,40,0.43478260869565216,0
"May 14, 2023",@ LA Dodgers,REG,L,4-0,135,U,9.5,SDN,2023,20230514,41,0.425531914893617,0
"May 15, 2023",vs Kansas City,REG,W,4-0,-230,U,9.0,SDN,2023,20230515,42,0.696969696969697,0
"May 16, 2023",vs Kansas City,REG,L,5-4,-200,O,8.5,SDN,2023,20230516,43,0.6666666666666667,0
"May 17, 2023",vs Kansas City,REG,L,4-3,-280,U,8.5,SDN,2023,20230517,44,0.736842105263158,0
"May 19, 2023",vs Boston,REG,L,6-1,-150,U,8.0,SDN,2023,20230519,45,0.6,0
"May 20, 2023",vs Boston,REG,L,4-2,-114,U,7.5,SDN,2023,20230520,46,0.5327102803738317,0
"May 21, 2023",vs Boston,REG,W,7-0,-185,U,9.0,SDN,2023,20230521,47,0.6491228070175439,0
"May 23, 2023",@ Washington,REG,W,7-4,-158,O,8.0,SDN,2023,20230523,48,0.6124031007751938,0
"May 24, 2023",@ Washington,REG,L,5-3,-150,U,9.5,SDN,2023,20230524,49,0.6,0
"May 25, 2023",@ Washington,REG,W,8-6,-200,O,9.5,SDN,2023,20230525,50,0.6666666666666667,0
"May 26, 2023",@ NY Yankees,REG,W,5-1,-115,U,9.5,SDN,2023,20230526,51,0.5348837209302326,0
"May 27, 2023",@ NY Yankees,REG,L,3-2,135,U,8.5,SDN,2023,20230527,52,0.425531914893617,0
"May 28, 2023",@ NY Yankees,REG,L,10-7,116,O,7.5,SDN,2023,20230528,53,0.46296296296296297,0
"May 30, 2023",@ Miami,REG,W,9-4,117,O,8.0,SDN,2023,20230530,54,0.4608294930875576,0
"May 31, 2023",@ Miami,REG,L,2-1,-112,U,8.5,SDN,2023,20230531,55,0.5283018867924528,0
"Jun 1, 2023",@ Miami,REG,W,10-1,-120,O,7.5,SDN,2023,20230601,56,0.5454545454545454,0
"Jun 2, 2023",vs Chi Cubs,REG,L,2-1,-182,U,9.0,SDN,2023,20230602,57,0.6453900709219857,0
"Jun 3, 2023",vs Chi Cubs,REG,W,6-0,-180,U,8.0,SDN,2023,20230603,58,0.6428571428571428,0
"Jun 4, 2023",vs Chi Cubs,REG,L,7-1,-105,U,9.0,SDN,2023,20230604,59,0.5121951219512195,0
