Date,Opponent,Game,Result,Score,Line,OU,Total,team_source,season,date_numeric,game_no,prob_implied,dblheader_num
"Mar 30, 2023",vs Cleveland,REG,W,3-0,-120,U,6.5,SEA,2023,20230330,1,0.5454545454545454,0
"Mar 31, 2023",vs Cleveland,REG,L,9-4,-167,O,7.5,SEA,2023,20230331,2,0.6254681647940075,0
"Apr 1, 2023",vs Cleveland,REG,L,2-0,-133,U,7.0,SEA,2023,20230401,3,0.5708154506437768,0
"Apr 2, 2023",vs Cleveland,REG,L,6-5,-115,O,8.0,SEA,2023,20230402,4,0.5348837209302326,0
"Apr 3, 2023",vs LA Angels,REG,L,7-3,-132,O,7.0,SEA,2023,20230403,5,0.5689655172413793,0
"Apr 4, 2023",vs LA Angels,REG,W,11-2,-170,O,7.5,SEA,2023,20230404,6,0.6296296296296297,0
"Apr 5, 2023",vs LA Angels,REG,L,4-3,155,P,7.0,SEA,2023,20230405,7,0.39215686274509803,0
"Apr 7, 2023",@ Cleveland,REG,W,5-3,111,O,7.5,SEA,2023,20230407,8,0.47393364928909953,0
"Apr 8, 2023",@ Cleveland,REG,W,3-2,124,U,8.5,SEA,2023,20230408,9,0.44642857142857145,0
"Apr 9, 2023",@ Cleveland,REG,L,7-6,-125,O,8.0,SEA,2023,20230409,10,0.5555555555555556,0
"Apr 10, 2023",@ Chi Cubs,REG,L,3-2,-150,U,9.0,SEA,2023,20230410,11,0.6,0
"Apr 11, 2023",@ Chi Cubs,REG,L,14-9,100,O,10.5,SEA,2023,20230411,12,0.5,0
"Apr 12, 2023",@ Chi Cubs,REG,W,5-2,-110,U,11.0,SEA,2023,20230412,13,0.5238095238095238,0
"Apr 14, 2023",vs Colorado,REG,W,5-3,-180,U,8.5,SEA,2023,20230414,14,0.6428571428571428,0
"Apr 15, 2023",vs Colorado,REG,W,9-2,-240,O,8.0,SEA,2023,20230415,15,0.7058823529411764,0
"Apr 16, 2023",vs Colorado,REG,W,1-0,-300,U,8.0,SEA,2023,20230416,16,0.75,0
"Apr 17, 2023",vs Milwaukee,REG,L,7-3,125,O,7.5,SEA,2023,20230417,17,0.4444444444444444,0
"Apr 18, 2023",vs Milwaukee,REG,L,6-5,-155,O,8.0,SEA,2023,20230418,18,0.607843137254902,0
"Apr 19, 2023",vs Milwaukee,REG,L,5-3,-135,U,8.5,SEA,2023,20230419,19,0.574468085106383,0
"Apr 21, 2023",vs St. Louis,REG,W,5-2,-120,U,8.0,SEA,2023,20230421,20,0.5454545454545454,0
"Apr 22, 2023",vs St. Louis,REG,W,5-4,-164,O,7.5,SEA,2023,20230422,21,0.6212121212121212,0
"Apr 23, 2023",vs St. Louis,REG,L,7-3,-102,O,9.0,SEA,2023,20230423,22,0.504950495049505,0
"Apr 25, 2023",@ Philadelphia,REG,W,5-3,113,U,9.0,SEA,2023,20230425,23,0.4694835680751174,0
"Apr 26, 2023",@ Philadelphia,REG,L,6-5,-115,O,8.5,SEA,2023,20230426,24,0.5348837209302326,0
"Apr 27, 2023",@ Philadelphia,REG,L,1-0,-102,U,8.0,SEA,2023,20230427,25,0.504950495049505,0
"Apr 28, 2023",@ Toronto,REG,L,3-2,100,U,8.5,SEA,2023,20230428,26,0.5,0
"Apr 29, 2023",@ Toronto,REG,L,1-0,220,U,9.0,SEA,2023,20230429,27,0.3125,0
"Apr 30, 2023",@ Toronto,REG,W,10-8,175,O,9.5,SEA,2023,20230430,28,0.36363636363636365,0
"May 2, 2023",@ Oakland,REG,W,2-1,-125,U,8.0,SEA,2023,20230502,29,0.5555555555555556,0
"May 3, 2023",@ Oakland,REG,W,7-2,-185,O,7.5,SEA,2023,20230503,30,0.6491228070175439,0
"May 4, 2023",@ Oakland,REG,W,5-3,-250,U,8.5,SEA,2023,20230504,31,0.7142857142857143,0
"May 5, 2023",vs Houston,REG,L,6-4,-135,O,7.0,SEA,2023,20230505,32,0.574468085106383,0
"May 6, 2023",vs Houston,REG,W,7-5,105,O,8.5,SEA,2023,20230506,33,0.4878048780487805,0
"May 7, 2023",vs Houston,REG,W,3-1,-131,U,8.5,SEA,2023,20230507,34,0.5670995670995671,0
"May 8, 2023",vs Texas,REG,L,2-1,-175,U,7.5,SEA,2023,20230508,35,0.6363636363636364,0
"May 9, 2023",vs Texas,REG,W,5-0,-160,U,7.5,SEA,2023,20230509,36,0.6153846153846154,0
"May 10, 2023",vs Texas,REG,L,4-3,-185,U,7.5,SEA,2023,20230510,37,0.6491228070175439,0
"May 12, 2023",@ Detroit,REG,W,9-2,-115,O,8.5,SEA,2023,20230512,38,0.5348837209302326,0
"May 13, 2023",@ Detroit,REG,W,5-0,-200,U,8.5,SEA,2023,20230513,39,0.6666666666666667,0
"May 14, 2023",@ Detroit,REG,L,5-3,-190,U,8.5,SEA,2023,20230514,40,0.6551724137931034,0
"May 15, 2023",@ Boston,REG,W,10-1,-125,O,10.0,SEA,2023,20230515,41,0.5555555555555556,0
"May 16, 2023",@ Boston,REG,L,9-4,-165,O,10.5,SEA,2023,20230516,42,0.6226415094339622,0
"May 17, 2023",@ Boston,REG,L,12-3,110,O,9.5,SEA,2023,20230517,43,0.47619047619047616,0
"May 19, 2023",@ Atlanta,REG,L,6-2,132,U,8.5,SEA,2023,20230519,44,0.43103448275862066,0
"May 20, 2023",@ Atlanta,REG,W,7-3,115,O,9.5,SEA,2023,20230520,45,0.46511627906976744,0
"May 21, 2023",@ Atlanta,REG,L,3-2,-105,U,9.5,SEA,2023,20230521,46,0.5121951219512195,0
"May 22, 2023",vs Oakland,REG,W,11-2,-310,O,8.0,SEA,2023,20230522,47,0.7560975609756098,0
"May 23, 2023",vs Oakland,REG,W,3-2,-220,U,9.0,SEA,2023,20230523,48,0.6875,0
"May 24, 2023",vs Oakland,REG,W,6-1,-300,U,8.5,SEA,2023,20230524,49,0.75,0
"May 25, 2023",vs Oakland,REG,W,3-2,-250,U,7.5,SEA,2023,20230525,50,0.7142857142857143,0
"May 26, 2023",vs Pittsburgh,REG,L,11-6,-160,O,7.0,SEA,2023,20230526,51,0.6153846153846154,0
"May 27, 2023",vs Pittsburgh,REG,W,5-0,-230,U,7.5,SEA,2023,20230527,52,0.696969696969697,0
"May 28, 2023",vs Pittsburgh,REG,W,6-3,-140,O,8.5,SEA,2023,20230528,53,0.5833333333333333,0
"May 29, 2023",vs NY Yankees,REG,L,10-4,-135,O,7.5,SEA,2023,20230529,54,0.574468085106383,0
"May 30, 2023",vs NY Yankees,REG,L,10-2,-145,O,7.0,SEA,2023,20230530,55,0.5918367346938775,0
"May 31, 2023",vs NY Yankees,REG,W,1-0,-138,U,7.5,SEA,2023,20230531,56,0.5798319327731092,0
"Jun 2, 2023",@ Texas,REG,L,2-0,-110,U,7.5,SEA,2023,20230602,57,0.5238095238095238,0
"Jun 3, 2023",@ Texas,REG,L,16-6,126,O,8.5,SEA,2023,20230603,58,0.4424778761061947,0
