Date,Opponent,Game,Result,Score,Line,OU,Total,team_source,season,date_numeric,game_no,prob_implied,dblheader_num
"Mar 30, 2023",vs Toronto,REG,L,10-9,-110,O,7.5,SLN,2023,20230330,1,0.5238095238095238,0
"Apr 1, 2023",vs Toronto,REG,W,4-1,117,U,8.0,SLN,2023,20230401,2,0.4608294930875576,0
"Apr 2, 2023",vs Toronto,REG,W,9-4,-115,O,7.5,SLN,2023,20230402,3,0.5348837209302326,0
"Apr 3, 2023",vs Atlanta,REG,L,8-4,108,O,8.5,SLN,2023,20230403,4,0.4807692307692308,0
"Apr 4, 2023",vs Atlanta,REG,L,4-1,-132,U,9.5,SLN,2023,20230404,5,0.5689655172413793,0
"Apr 5, 2023",vs Atlanta,REG,L,5-2,-120,U,9.0,SLN,2023,20230405,6,0.5454545454545454,0
"Apr 7, 2023",@ Milwaukee,REG,L,4-0,135,U,8.5,SLN,2023,20230407,7,0.425531914893617,0
"Apr 8, 2023",@ Milwaukee,REG,W,6-0,-160,U,9.0,SLN,2023,20230408,8,0.6153846153846154,0
"Apr 9, 2023",@ Milwaukee,REG,L,6-1,135,U,9.0,SLN,2023,20230409,9,0.425531914893617,0
"Apr 10, 2023",@ Colorado,REG,L,7-4,-135,U,11.5,SLN,2023,20230410,10,0.574468085106383,0
"Apr 11, 2023",@ Colorado,REG,W,9-6,-170,O,12.0,SLN,2023,20230411,11,0.6296296296296297,0
"Apr 12, 2023",@ Colorado,REG,W,7-4,-175,U,13.0,SLN,2023,20230412,12,0.6363636363636364,0
"Apr 13, 2023",vs Pittsburgh,REG,L,5-0,-265,U,8.5,SLN,2023,20230413,13,0.726027397260274,0
"Apr 14, 2023",vs Pittsburgh,REG,W,3-0,-162,U,9.0,SLN,2023,20230414,14,0.6183206106870229,0
"Apr 15, 2023",vs Pittsburgh,REG,L,6-3,-185,P,9.0,SLN,2023,20230415,15,0.6491228070175439,0
"Apr 16, 2023",vs Pittsburgh,REG,W,5-4,-150,O,8.5,SLN,2023,20230416,16,0.6,0
"Apr 17, 2023",vs Arizona,REG,L,6-3,-140,O,8.5,SLN,2023,20230417,17,0.5833333333333333,0
"Apr 18, 2023",vs Arizona,REG,L,8-7,-180,O,8.0,SLN,2023,20230418,18,0.6428571428571428,0
"Apr 19, 2023",vs Arizona,REG,W,14-5,-205,O,10.5,SLN,2023,20230419,19,0.6721311475409837,0
