Date,Opponent,Game,Result,Score,Line,OU,Total,team_source,season,date_numeric,game_no,prob_implied,dblheader_num
"Mar 30, 2023",vs Detroit,REG,W,4-0,-240,U,6.5,TBA,2023,20230330,1,0.7058823529411764,0
"Apr 1, 2023",vs Detroit,REG,W,12-2,-182,O,7.0,TBA,2023,20230401,2,0.6453900709219857,0
"Apr 2, 2023",vs Detroit,REG,W,5-1,-278,U,7.5,TBA,2023,20230402,3,0.7354497354497355,0
"Apr 3, 2023",@ Washington,REG,W,6-2,-175,P,8.0,TBA,2023,20230403,4,0.6363636363636364,0
"Apr 4, 2023",@ Washington,REG,W,10-6,-170,O,9.0,TBA,2023,20230404,5,0.6296296296296297,0
"Apr 5, 2023",@ Washington,REG,W,7-2,-275,O,8.5,TBA,2023,20230405,6,0.7333333333333334,0
"Apr 7, 2023",vs Oakland,REG,W,9-5,-275,O,7.5,TBA,2023,20230407,7,0.7333333333333334,0
"Apr 8, 2023",vs Oakland,REG,W,11-0,-300,O,7.5,TBA,2023,20230408,8,0.75,0
"Apr 9, 2023",vs Oakland,REG,W,11-0,-310,O,8.0,TBA,2023,20230409,9,0.7560975609756098,0
"Apr 10, 2023",vs Boston,REG,W,1-0,-150,U,8.5,TBA,2023,20230410,10,0.6,0
"Apr 11, 2023",vs Boston,REG,W,7-2,-170,O,7.5,TBA,2023,20230411,11,0.6296296296296297,0
"Apr 12, 2023",vs Boston,REG,W,9-7,-135,O,8.5,TBA,2023,20230412,12,0.574468085106383,0
"Apr 13, 2023",vs Boston,REG,W,9-3,-250,O,8.0,TBA,2023,20230413,13,0.7142857142857143,0
"Apr 14, 2023",@ Toronto,REG,L,6-3,-122,P,9.0,TBA,2023,20230414,14,0.5495495495495495,0
"Apr 15, 2023",@ Toronto,REG,L,5-2,110,U,10.0,TBA,2023,20230415,15,0.47619047619047616,0
"Apr 16, 2023",@ Toronto,REG,W,8-1,-135,O,8.5,TBA,2023,20230416,16,0.574468085106383,0
"Apr 17, 2023",@ Cincinnati,REG,L,8-1,-150,U,9.5,TBA,2023,20230417,17,0.6,0
"Apr 18, 2023",@ Cincinnati,REG,W,10-0,-125,O,9.5,TBA,2023,20230418,18,0.5555555555555556,0
"Apr 19, 2023",@ Cincinnati,REG,W,8-0,-275,U,10.0,TBA,2023,20230419,19,0.7333333333333334,0
"Apr 21, 2023",vs Chi White Sox,REG,W,8-7,-180,O,9.0,TBA,2023,20230421,20,0.6428571428571428,0
"Apr 22, 2023",vs Chi White Sox,REG,W,4-3,-200,P,7.0,TBA,2023,20230422,21,0.6666666666666667,0
"Apr 23, 2023",vs Chi White Sox,REG,W,4-1,-185,U,8.0,TBA,2023,20230423,22,0.6491228070175439,0
"Apr 24, 2023",vs Houston,REG,W,8-3,-200,O,8.5,TBA,2023,20230424,23,0.6666666666666667,0
"Apr 25, 2023",vs Houston,REG,L,5-0,-182,U,7.5,TBA,2023,20230425,24,0.6453900709219857,0
"Apr 26, 2023",vs Houston,REG,L,1-0,-114,U,8.5,TBA,2023,20230426,25,0.5327102803738317,0
"Apr 27, 2023",@ Chi White Sox,REG,W,14-5,-158,O,7.0,TBA,2023,20230427,26,0.6124031007751938,0
"Apr 28, 2023",@ Chi White Sox,REG,W,3-2,-160,U,8.5,TBA,2023,20230428,27,0.6153846153846154,0
"Apr 29, 2023",@ Chi White Sox,REG,W,12-3,-135,O,9.5,TBA,2023,20230429,28,0.574468085106383,0
"Apr 30, 2023",@ Chi White Sox,REG,L,12-9,-200,O,9.0,TBA,2023,20230430,29,0.6666666666666667,0
"May 2, 2023",vs Pittsburgh,REG,W,4-1,-158,U,8.5,TBA,2023,20230502,30,0.6124031007751938,0
"May 3, 2023",vs Pittsburgh,REG,W,8-1,-215,O,7.0,TBA,2023,20230503,31,0.6825396825396826,0
"May 4, 2023",vs Pittsburgh,REG,W,3-2,-185,U,8.5,TBA,2023,20230504,32,0.6491228070175439,0
