Date,Opponent,Game,Result,Score,Line,OU,Total,team_source,season,date_numeric,game_no,prob_implied,dblheader_num
"Mar 30, 2023",vs Philadelphia,REG,W,11-7,-140,O,6.5,TEX,2023,20230330,1,0.5833333333333333,0
"Apr 1, 2023",vs Philadelphia,REG,W,16-3,105,O,7.5,TEX,2023,20230401,2,0.4878048780487805,0
"Apr 2, 2023",vs Philadelphia,REG,W,2-1,-125,U,8.5,TEX,2023,20230402,3,0.5555555555555556,0
"Apr 3, 2023",vs Baltimore,REG,L,2-0,-133,U,8.5,TEX,2023,20230403,4,0.5708154506437768,0
"Apr 4, 2023",vs Baltimore,REG,L,7-2,-145,O,8.5,TEX,2023,20230404,5,0.5918367346938775,0
"Apr 5, 2023",vs Baltimore,REG,W,5-2,-213,U,7.5,TEX,2023,20230405,6,0.6805111821086263,0
"Apr 7, 2023",@ Chi Cubs,REG,L,2-0,112,U,6.5,TEX,2023,20230407,7,0.4716981132075472,0
"Apr 8, 2023",@ Chi Cubs,REG,L,10-3,105,O,7.0,TEX,2023,20230408,8,0.4878048780487805,0
"Apr 9, 2023",@ Chi Cubs,REG,W,8-2,-110,O,8.5,TEX,2023,20230409,9,0.5238095238095238,0
"Apr 10, 2023",vs Kansas City,REG,W,11-2,-172,O,8.5,TEX,2023,20230410,10,0.6323529411764706,0
"Apr 11, 2023",vs Kansas City,REG,W,8-5,-300,O,8.0,TEX,2023,20230411,11,0.75,0
"Apr 12, 2023",vs Kansas City,REG,L,10-1,-167,O,9.0,TEX,2023,20230412,12,0.6254681647940075,0
"Apr 14, 2023",@ Houston,REG,W,6-2,140,U,8.5,TEX,2023,20230414,13,0.4166666666666667,0
"Apr 15, 2023",@ Houston,REG,L,8-2,155,O,8.0,TEX,2023,20230415,14,0.39215686274509803,0
"Apr 16, 2023",@ Houston,REG,W,9-1,180,O,8.0,TEX,2023,20230416,15,0.35714285714285715,0
"Apr 17, 2023",@ Kansas City,REG,W,4-0,-220,U,7.5,TEX,2023,20230417,16,0.6875,0
"Apr 18, 2023",@ Kansas City,REG,W,12-2,-120,O,9.0,TEX,2023,20230418,17,0.5454545454545454,0
"Apr 19, 2023",@ Kansas City,REG,W,12-3,100,O,9.5,TEX,2023,20230419,18,0.5,0
"Apr 21, 2023",vs Oakland,REG,L,5-4,-250,O,8.5,TEX,2023,20230421,19,0.7142857142857143,0
"Apr 22, 2023",vs Oakland,REG,W,18-3,-260,O,8.5,TEX,2023,20230422,20,0.7222222222222222,0
"Apr 23, 2023",vs Oakland,REG,W,5-2,-385,P,7.0,TEX,2023,20230423,21,0.7938144329896908,0
"Apr 24, 2023",@ Cincinnati,REG,L,7-6,-110,O,8.0,TEX,2023,20230424,22,0.5238095238095238,0
"Apr 25, 2023",@ Cincinnati,REG,L,7-6,-125,O,9.5,TEX,2023,20230425,23,0.5555555555555556,0
"Apr 26, 2023",@ Cincinnati,REG,L,5-3,-110,U,8.5,TEX,2023,20230426,24,0.5238095238095238,0
"Apr 27, 2023",vs NY Yankees,REG,L,4-2,160,U,8.0,TEX,2023,20230427,25,0.38461538461538464,0
"Apr 28, 2023",vs NY Yankees,REG,W,5-2,-225,P,7.0,TEX,2023,20230428,26,0.6923076923076923,0
"Apr 29, 2023",vs NY Yankees,REG,W,2-0,-168,U,8.5,TEX,2023,20230429,27,0.6268656716417911,0
"Apr 30, 2023",vs NY Yankees,REG,W,15-2,106,O,8.0,TEX,2023,20230430,28,0.4854368932038835,0
"May 2, 2023",vs Arizona,REG,W,6-4,137,O,8.0,TEX,2023,20230502,29,0.4219409282700422,0
"May 3, 2023",vs Arizona,REG,L,12-7,-125,O,8.5,TEX,2023,20230503,30,0.5555555555555556,0
"May 5, 2023",@ LA Angels,REG,L,5-4,114,U,9.5,TEX,2023,20230505,31,0.4672897196261682,0
