Date,Opponent,Game,Result,Score,Line,OU,Total,team_source,season,date_numeric,game_no,prob_implied,dblheader_num
"Mar 30, 2023",@ St. Louis,REG,W,10-9,-110,O,7.5,TOR,2023,20230330,1,0.5238095238095238,0
"Apr 1, 2023",@ St. Louis,REG,L,4-1,-127,U,8.0,TOR,2023,20230401,2,0.5594713656387665,0
"Apr 2, 2023",@ St. Louis,REG,L,9-4,105,O,7.5,TOR,2023,20230402,3,0.4878048780487805,0
"Apr 3, 2023",@ Kansas City,REG,L,9-5,-130,O,8.0,TOR,2023,20230403,4,0.5652173913043479,0
"Apr 4, 2023",@ Kansas City,REG,W,4-1,-175,U,10.0,TOR,2023,20230404,5,0.6363636363636364,0
"Apr 5, 2023",@ Kansas City,REG,W,3-0,-195,U,8.5,TOR,2023,20230405,6,0.6610169491525424,0
"Apr 6, 2023",@ Kansas City,REG,W,6-3,-225,O,8.5,TOR,2023,20230406,7,0.6923076923076923,0
"Apr 7, 2023",@ LA Angels,REG,W,4-3,125,U,9.0,TOR,2023,20230407,8,0.4444444444444444,0
"Apr 8, 2023",@ LA Angels,REG,L,9-5,120,O,9.5,TOR,2023,20230408,9,0.45454545454545453,0
"Apr 9, 2023",@ LA Angels,REG,W,12-11,122,O,10.0,TOR,2023,20230409,10,0.45045045045045046,0
"Apr 11, 2023",vs Detroit,REG,W,9-3,-280,O,9.0,TOR,2023,20230411,11,0.736842105263158,0
"Apr 12, 2023",vs Detroit,REG,W,4-3,-300,U,9.0,TOR,2023,20230412,12,0.75,0
"Apr 13, 2023",vs Detroit,REG,L,3-1,-250,U,9.5,TOR,2023,20230413,13,0.7142857142857143,0
"Apr 14, 2023",vs Tampa Bay,REG,W,6-3,112,P,9.0,TOR,2023,20230414,14,0.4716981132075472,0
"Apr 15, 2023",vs Tampa Bay,REG,W,5-2,-120,U,10.0,TOR,2023,20230415,15,0.5454545454545454,0
"Apr 16, 2023",vs Tampa Bay,REG,L,8-1,115,O,8.5,TOR,2023,20230416,16,0.46511627906976744,0
"Apr 17, 2023",@ Houston,REG,L,9-2,-115,O,8.0,TOR,2023,20230417,17,0.5348837209302326,0
"Apr 18, 2023",@ Houston,REG,W,4-2,-105,U,9.0,TOR,2023,20230418,18,0.5121951219512195,0
