Date,Opponent,Game,Result,Score,Line,OU,Total,team_source,season,date_numeric,game_no,prob_implied,dblheader_num
"Mar 30, 2023",vs Atlanta,REG,L,7-2,210,O,7.5,WAS,2023,20230330,1,0.3225806451612903,0
"Apr 1, 2023",vs Atlanta,REG,L,7-1,205,U,9.0,WAS,2023,20230401,2,0.32786885245901637,0
"Apr 2, 2023",vs Atlanta,REG,W,4-1,144,U,8.5,WAS,2023,20230402,3,0.4098360655737705,0
"Apr 3, 2023",vs Tampa Bay,REG,L,6-2,160,P,8.0,WAS,2023,20230403,4,0.38461538461538464,0
"Apr 4, 2023",vs Tampa Bay,REG,L,10-6,141,O,9.0,WAS,2023,20230404,5,0.4149377593360996,0
"Apr 5, 2023",vs Tampa Bay,REG,L,7-2,225,O,8.5,WAS,2023,20230405,6,0.3076923076923077,0
"Apr 6, 2023",@ Colorado,REG,L,1-0,150,U,11.0,WAS,2023,20230406,7,0.4,0
"Apr 7, 2023",@ Colorado,REG,W,10-5,-105,O,11.5,WAS,2023,20230407,8,0.5121951219512195,0
"Apr 8, 2023",@ Colorado,REG,W,7-6,133,O,11.0,WAS,2023,20230408,9,0.4291845493562232,0
"Apr 9, 2023",@ Colorado,REG,L,7-6,122,O,12.0,WAS,2023,20230409,10,0.45045045045045046,0
"Apr 10, 2023",@ LA Angels,REG,W,6-4,240,P,10.0,WAS,2023,20230410,11,0.29411764705882354,0
"Apr 11, 2023",@ LA Angels,REG,L,2-0,250,U,8.5,WAS,2023,20230411,12,0.2857142857142857,0
"Apr 12, 2023",@ LA Angels,REG,L,3-2,140,U,9.0,WAS,2023,20230412,13,0.4166666666666667,0
"Apr 14, 2023",vs Cleveland,REG,L,4-3,143,U,9.5,WAS,2023,20230414,14,0.411522633744856,0
"Apr 15, 2023",vs Cleveland,REG,L,6-4,150,O,9.5,WAS,2023,20230415,15,0.4,0
"Apr 16, 2023",vs Cleveland,REG,W,7-6,185,O,9.0,WAS,2023,20230416,16,0.3508771929824561,0
"Apr 18, 2023",vs Baltimore,REG,L,1-0,122,U,9.0,WAS,2023,20230418,17,0.45045045045045046,0
"Apr 19, 2023",vs Baltimore,REG,L,4-0,130,U,8.5,WAS,2023,20230419,18,0.43478260869565216,0
"Apr 21, 2023",@ Minnesota,REG,W,3-2,200,U,7.5,WAS,2023,20230421,19,0.3333333333333333,0
"Apr 22, 2023",@ Minnesota,REG,W,10-4,260,O,7.5,WAS,2023,20230422,20,0.2777777777777778,0
"Apr 23, 2023",@ Minnesota,REG,L,3-1,220,U,8.5,WAS,2023,20230423,21,0.3125,0
"Apr 25, 2023",@ NY Mets,REG,W,5-0,175,U,8.5,WAS,2023,20230425,22,0.36363636363636365,0
"Apr 26, 2023",@ NY Mets,REG,W,4-1,175,U,8.5,WAS,2023,20230426,23,0.36363636363636365,0
"Apr 27, 2023",@ NY Mets,REG,L,9-8,200,O,8.5,WAS,2023,20230427,24,0.3333333333333333,0
"Apr 29, 2023",vs Pittsburgh,REG,L,6-3,130,U,9.5,WAS,2023,20230429,25,0.43478260869565216,1
"Apr 29, 2023",vs Pittsburgh,REG,L,16-1,135,O,9.0,WAS,2023,20230429,26,0.425531914893617,2
"Apr 30, 2023",vs Pittsburgh,REG,W,7-2,130,O,8.5,WAS,2023,20230430,27,0.43478260869565216,0
"May 1, 2023",vs Chi Cubs,REG,L,5-1,118,U,8.5,WAS,2023,20230501,28,0.45871559633027525,0
"May 2, 2023",vs Chi Cubs,REG,W,4-1,125,U,8.5,WAS,2023,20230502,29,0.4444444444444444,0
"May 3, 2023",vs Chi Cubs,REG,W,2-1,165,U,8.0,WAS,2023,20230503,30,0.37735849056603776,0
"May 4, 2023",vs Chi Cubs,REG,W,4-3,155,U,8.5,WAS,2023,20230504,31,0.39215686274509803,0
"May 5, 2023",@ Arizona,REG,L,3-1,160,U,9.0,WAS,2023,20230505,32,0.38461538461538464,0
"May 6, 2023",@ Arizona,REG,L,8-7,105,O,9.5,WAS,2023,20230506,33,0.4878048780487805,0
"May 7, 2023",@ Arizona,REG,W,9-8,130,O,9.0,WAS,2023,20230507,34,0.43478260869565216,0
"May 8, 2023",@ San Francisco,REG,W,5-1,190,U,8.5,WAS,2023,20230508,35,0.3448275862068966,0
"May 9, 2023",@ San Francisco,REG,L,4-1,190,U,8.5,WAS,2023,20230509,36,0.3448275862068966,0
"May 10, 2023",@ San Francisco,REG,W,11-6,142,O,8.5,WAS,2023,20230510,37,0.4132231404958678,0
"May 12, 2023",vs NY Mets,REG,L,3-2,108,U,9.0,WAS,2023,20230512,38,0.4807692307692308,0
"May 13, 2023",vs NY Mets,REG,W,3-2,130,U,9.0,WAS,2023,20230513,39,0.43478260869565216,0
"May 14, 2023",vs NY Mets,REG,L,8-2,165,O,9.0,WAS,2023,20230514,40,0.37735849056603776,0
"May 15, 2023",vs NY Mets,REG,W,10-3,134,O,10.0,WAS,2023,20230515,41,0.42735042735042733,0
"May 16, 2023",@ Miami,REG,L,5-4,140,O,7.5,WAS,2023,20230516,42,0.4166666666666667,0
"May 17, 2023",@ Miami,REG,L,4-3,115,U,7.5,WAS,2023,20230517,43,0.46511627906976744,0
"May 18, 2023",@ Miami,REG,L,5-3,130,P,8.0,WAS,2023,20230518,44,0.43478260869565216,0
"May 19, 2023",vs Detroit,REG,L,8-6,100,O,8.5,WAS,2023,20230519,45,0.5,0
"May 20, 2023",vs Detroit,REG,W,5-2,-120,U,9.5,WAS,2023,20230520,46,0.5454545454545454,0
"May 21, 2023",vs Detroit,REG,W,6-4,-130,O,8.5,WAS,2023,20230521,47,0.5652173913043479,0
"May 23, 2023",vs San Diego,REG,L,7-4,132,O,8.0,WAS,2023,20230523,48,0.43103448275862066,0
"May 24, 2023",vs San Diego,REG,W,5-3,126,U,9.5,WAS,2023,20230524,49,0.4424778761061947,0
"May 25, 2023",vs San Diego,REG,L,8-6,170,O,9.5,WAS,2023,20230525,50,0.37037037037037035,0
"May 26, 2023",@ Kansas City,REG,W,12-10,-105,O,9.5,WAS,2023,20230526,51,0.5121951219512195,0
"May 27, 2023",@ Kansas City,REG,W,4-2,104,U,9.5,WAS,2023,20230527,52,0.49019607843137253,0
"May 28, 2023",@ Kansas City,REG,L,3-2,-105,U,9.0,WAS,2023,20230528,53,0.5121951219512195,0
"May 29, 2023",@ LA Dodgers,REG,L,6-1,210,U,9.0,WAS,2023,20230529,54,0.3225806451612903,0
"May 30, 2023",@ LA Dodgers,REG,L,9-3,260,O,8.5,WAS,2023,20230530,55,0.2777777777777778,0
"May 31, 2023",@ LA Dodgers,REG,W,10-6,205,O,9.5,WAS,2023,20230531,56,0.32786885245901637,0
"Jun 2, 2023",vs Philadelphia,REG,W,8-7,160,O,9.0,WAS,2023,20230602,57,0.38461538461538464,0
"Jun 3, 2023",vs Philadelphia,REG,L,4-2,-110,U,8.5,WAS,2023,20230603,58,0.5238095238095238,0
"Jun 4, 2023",vs Philadelphia,REG,L,11-3,128,O,9.0,WAS,2023,20230604,59,0.43859649122807015,0
"Jun 6, 2023",vs Arizona,REG,L,10-5,115,O,10.0,WAS,2023,20230606,60,0.46511627906976744,0
"Jun 7, 2023",vs Arizona,REG,L,6-2,100,U,10.0,WAS,2023,20230607,61,0.5,0
"Jun 9, 2023",@ Atlanta,REG,L,3-2,170,U,10.0,WAS,2023,20230609,62,0.37037037037037035,0
"Jun 10, 2023",@ Atlanta,REG,L,6-4,165,O,9.5,WAS,2023,20230610,63,0.37735849056603776,0
"Jun 11, 2023",@ Atlanta,REG,W,6-2,230,U,9.5,WAS,2023,20230611,64,0.30303030303030304,0
